seconds_elapsed,microphone_dBFS,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,gyroscope_z,gyroscope_y,gyroscope_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,magnetometer_z,magnetometer_y,magnetometer_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,accelerometer_z,accelerometer_y,accelerometer_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,class
40,-21.25,0.9119448436116709,0.1407008904565885,0.058869986,0.3805930545029131,-3.65E-04,-0.306119372,-2.350947947,9.756548474135908,2.2159105788156825,-0.156207177,-0.102048558,-0.003608743,0.003021618,-48.01163513,-32.31108934,-52.45072697,45,0.45967379212379456,1.1915980577468872,3.9000000953674316,0.20929646492004395,239.2321319580078,161,-86.9157085,40.3847255,42.04839718,-28.83164942,13.489295701980591,-0.123580924,0.009677185,0.003479754,0.193618858,-0.806691181,-0.159677053,9.756548474135908,2.2159105788156825,-0.156207177,Drive
41,-25.66666667,0.898184976,0.13131297878848697,0.045643089646563946,0.4169898915638044,0.028581882673270494,-0.277483342,-2.268320711,9.694186960609214,2.2507226704393775,-0.51590592,-0.011299192,-0.004474604,0.008121896,-49.52931515,-34.40351124,-51.2792828,3.952585220336914,0.7375635504722595,1.201598048210144,3.9000000953674316,3.880626916885376,181.2097625732422,161,-86.9157321,40.3846649,40.53071716308594,-30.92333946,14.660617761611938,-0.032831557,0.008811324,0.008580032,0.045597882,-0.498574906,-0.239865749,9.694186960609214,2.2507226704393775,-0.51590592,Drive
42,-21.875,0.894799837,0.12573567864674967,0.037131356744511616,0.42675223570425536,0.042274461,-0.259619512,-2.246049307,9.673793691855211,2.3792192133573384,-0.491791202,0.019693893527395083,-0.001627938,-4.42E-04,-49.53931915,-34.32250343,-51.75142303,3.2647862434387207,0.7864477038383484,1.033918023109436,3.9000000953674316,4.310892105102539,177.21685791015625,160.5,-86.9157435,40.3846161,40.520591201782224,-30.84257542,14.18847773551941,-0.001838472,0.011657990444026598,1.6308974506315386E-5,0.066304392,-0.171104845,-0.076147084,9.673793691855211,2.3792192133573384,-0.491791202,Drive
43,-20.66666667,0.9026478112322612,0.11883923462004338,0.040354411,0.41152443093003577,0.025754038768919928,-0.250292127,-2.282850305,9.700874671195317,2.235259342540815,-0.51811289,0.056439618,-0.02587205,-0.00538791,-49.77990284,-34.47475933,-53.02132092,2.0131022930145264,0.9104943871498108,1.0439180135726929,3.9000000953674316,4.706769943237305,173.8426971435547,160.5,-86.9157544,40.3845669,40.27976341247559,-30.99568535,12.918335781097412,0.034907252,-0.012586122,-0.004929775,0.1591279437241045,-0.208147189,-0.273120221,9.700874671195317,2.235259342540815,-0.51811289,Drive
44,-19.625,0.9232199649208958,0.11682600824578294,0.025879539477015004,0.36421785915939553,0.03850383,-0.237317107,-2.385605317,9.581468748814851,2.020802604,-1.654143193,0.23739274034222352,0.051616593,-0.007558494,-50.07038506,-34.26430939,-55.86867901,1.8880668878555298,1.0207840204238892,1.0539180040359497,4.260000228881836,4.898982524871826,162.51632690429688,160.5,-86.9157529,40.384514,39.99001327514648,-30.78425934,10.071465768814086,0.21586037405486247,0.064902521,-0.007100358,-0.032604778,-0.306278788,-1.267708911,9.581468748814851,2.020802604,-1.654143193,Drive
45,-19.33333333,0.946899567,0.132802901,-0.044950786,0.2857847070520364,0.1660479067020046,-0.228609096,-2.536301657,9.752233255256726,1.9521425441630835,-2.125093675,0.367105858,0.071611463,-0.003158021,-49.86103306,-32.14431532,-60.99536282,1.7889909744262695,1.0594810247421265,1.0639179944992065,4.209000110626221,5.111126899719238,146.35064697265625,160.5,-86.9157391,40.3844639,40.19887725830078,-28.66463137,4.944537901878357,0.345573492,0.084888495,-0.002699886,0.13045031353107933,-0.328437507,-0.528958363,9.752233255256726,1.9521425441630835,-2.125093675,Drive
46,-19,0.9781742043865537,0.14279203941521135,-0.056530732,0.13409197178569812,0.15489850591108636,-0.267433976,-2.848300147,9.632278502566143,2.042529664572003,-1.605737902,0.2833901303775102,0.047352524,-2.40E-04,-49.95643688,-28.04328552,-66.22050076,1.8467988967895508,1.015135407447815,1.0739179849624634,4.209000110626221,4.893417835235596,123.88468933105469,160.5,-86.9157018,40.3844243,40.10371730804443,-24.5627475,-0.28047799,0.261857767,0.060632521,2.1794792863730233E-4,0.067543882,-0.593890489,-0.1108886,9.632278502566143,2.042529664572003,-1.605737902,Drive
47,-19.22222222,-6.05E-05,0.002183827,0.004262379,0.031739191432612085,0.14943886892153666,-0.273921839,-0.639965837,9.560900373366273,2.0102004229443744,-1.80341293,0.2716273298630348,0.062369560970602415,-0.017491376,-51.09860085,-21.93730745,-69.39786835,1.9222573041915894,1.0881175994873047,1.0839179754257202,4.260000228881836,4.7989702224731445,94.78759766,160.5,-86.9156504,40.3843974,38.96155326843262,-18.45701368,-3.458089919,0.2500949636674844,0.075651084,-0.017033241,0.04980786,-0.697432018,-0.366821751,9.560900373366273,2.0102004229443744,-1.80341293,Drive
48,-20.375,-0.978674096,-0.129762959,0.090681927,0.12560037017157935,0.15149864308463717,-0.281067666,2.907762599222868,9.669634448671804,2.145827603571623,-1.895217179,0.2554927954395998,0.083527432,-0.020060105,-51.95699299,-14.91828165,-71.04425858,2.0149853229522705,1.1241440773010254,1.093917965888977,4.260000228881836,5.300804138183594,75.76102447509766,160.5,-86.9155809,40.3843796,38.10316123962402,-11.43884178,-5.103747888,0.2339604287182243,0.096808912,-0.01960197,0.17731365648288172,-0.626511321,-0.44611339,9.669634448671804,2.145827603571623,-1.895217179,Drive
49,-21.44444444,-0.959991869,-0.124463634,0.10650518218290458,0.22601331437675698,0.15528033268683164,-0.291173821,2.701930365516144,9.692560807015132,2.2156637594537827,-1.326007059,0.1473906228987916,0.023339703110571118,0.013305202228225116,-52.85588898,-9.354471836,-70.94446312,2.1487314701080322,1.3102670907974243,1.1039179563522339,3.9000000953674316,4.912154197692871,65.11236572265625,160.5,-86.9155193,40.3843764,37.204143295288084,-5.873811879,-5.004561925,0.125858258,0.036625631,0.013763337732898524,0.22160250006370175,-0.657418738,0.15667597992906293,9.692560807015132,2.2156637594537827,-1.326007059,Drive
