seconds_elapsed,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,accelerometer_z,accelerometer_y,accelerometer_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometer_z,magnetometer_y,magnetometer_x,microphone_dBFS,gyroscope_z,gyroscope_y,gyroscope_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,class
212,-0.881838822,-0.017824374,0.00326108,0.471202539,-0.011053159,-0.034516576,2.1599190350875115,-0.021433028,0.011942657162842242,7.398368217711093E-4,-141.4654633,-25.42809353,-31.54297747,0.014516089726420283,0.002376833,0.001587976,9.950854952518757,0.34582326733149016,0.1103459369733173,9.950854952518757,0.34582326733149016,0.1103459369733173,-92.38498596,-67.30849716,-4.662961907,-30.55555556,-5.34E-05,1.838472377942893E-4,-1.76E-04,45,1.5,20.735462188720703,87.59999847,14.078678131103516,81.51027679,156.09999084472656,-86.9094854,40.4250626,Garage
213,-0.881983821,-0.017846319,0.003152283,0.4709309828512877,-0.011255213,-0.034456196,2.1605316713018325,-0.021468612,0.011574962646564812,8.347257242755042E-4,-141.4660732,-25.50727152,-31.53370544,-0.02340339,-0.002605617,5.811586686708395E-5,9.903437040384533,0.3392406878540817,0.11151018219031349,9.903437040384533,0.3392406878540817,0.11151018219031349,-92.38608391,-67.38804077,-4.653079896,-30.625,-8.90E-05,-1.84E-04,-8.15E-05,45,1.5,20.735462188720703,87.59999847,14.078678131103516,81.51027679,156.09999084472656,-86.9094854,40.4250626,Garage
214,-0.882150856,-0.017778478,0.003077854,0.47062110756207437,-0.011310521,-0.034270322,2.161235922748603,-0.021551639,0.011729157131924791,7.042534964710691E-4,-141.4350862,-25.48714146,-31.51906546,-0.004888748,-9.11E-04,-9.26E-04,9.895276995538508,0.33887479418111077,0.11116461596424573,9.895276995538508,0.33887479418111077,0.11116461596424573,-92.35509605,-67.36778908,-4.637951908,-30.55555556,-1.72E-04,-2.97E-05,-2.12E-04,45,1.5,20.735462188720703,87.59999847,14.078678131103516,81.51027679,156.09999084472656,-86.9094854,40.4250626,Garage
215,-0.882281999,-0.017641504,0.003065111,0.4703804763775427,-0.011194599,-0.034019669,2.1617874821412912,-0.021551639,0.011895212706503937,8.228646141467887E-4,-141.5402489,-25.58339952,-31.53333942,-0.007876322,-0.001029771,-8.64E-04,9.884878177087284,0.3364500307921067,0.11027601932670505,9.884878177087284,0.3364500307921067,0.11027601932670505,-92.46001587,-67.46392525,-4.653079915,-30.75,-1.72E-04,1.364027882374606E-4,-9.34E-05,45,1.5,20.735462188720703,87.59999847,14.078678131103516,81.51027679,156.09999084472656,-86.9094854,40.4250626,Garage
216,-0.882076745,-0.017677278,0.003182718,0.47076307609677315,-0.011035552,-0.034188725,2.160920746051348,-0.021532365,0.011993751135798028,6.695825471139799E-4,-141.4605823,-25.41772341,-31.47380352,0.024744629859924316,0.004659665,2.4178649227206523E-4,9.925390604630257,0.34220848572485657,0.11035152115108608,9.925390604630257,0.34220848572485657,0.11035152115108608,-92.38095978,-67.29861458,-4.59329989,-30.33333333,-1.53E-04,2.3494125791610434E-4,-2.47E-04,45,1.5,20.735462188720703,87.59999847,14.078678131103516,81.51027679,156.09999084472656,-86.9094854,40.4250626,Garage
217,-0.881798887,-0.017814853,0.003292929,0.471277366,-0.010990929,-0.034528875,2.1597503597296557,-0.021468612,0.011990101592054644,8.347257327523481E-4,-141.4624139,-25.41052561,-31.51564943,0.006812151,0.004170276,0.001738267,9.945357887490282,0.3475023153626803,0.11097876596020408,9.945357887490282,0.3475023153626803,0.11097876596020408,-92.38242401,-67.29214867,-4.633559899,-29.875,-8.90E-05,2.3129168283013464E-4,-8.15E-05,45,1.5,3.4096527099609375,68.61799621582031,8.708434104919434,271.29119873046875,155.6999969482422,-86.9105687,40.4250363,Garage
218,-0.881902144,-0.017816463,0.003223136,0.4710845556652662,-0.011108037,-0.034468333,2.160186187,-0.021610945,0.011729157140966758,7.991423933242348E-4,-141.4493588,-25.43285145,-31.52296936,-0.011245329,-0.00335571,0.001161323,9.916295486746483,0.3389967588834392,0.11143758376716699,9.916295486746483,0.3389967588834392,0.11143758376716699,-92.36924797,-67.31301018,-4.642831898,-29.44444444,-2.31E-04,-2.97E-05,-1.17E-04,45,1.5,3.4096527099609375,68.61799621582031,8.708434104919434,271.29119873046875,155.6999969482422,-86.9105687,40.4250363,Garage
219,-0.882073907,-0.017804325,0.003115111,0.47076408868854486,-0.011274697,-0.034349192,2.160911300807323,-0.021539778,0.011752879337489027,8.228646158421575E-4,-141.4432591,-25.41272156,-31.46758142,-0.013509611,5.043390595797197E-4,7.979110317322814E-4,9.894324497111793,0.34100045856920264,0.11251783833863864,9.894324497111793,0.34100045856920264,0.11251783833863864,-92.36326981,-67.29227074,-4.58793191,-30.88888889,-1.20E-04,-5.93E-06,-5.34E-05,45,1.5,3.4096527099609375,68.61799621582031,8.708434104919434,271.29119873046875,155.6999969482422,-86.9105687,40.4250363,Garage
220,-0.882129,-0.017808621,0.003075955,0.4706609223074126,-0.011343851,-0.034321218,2.161144210296927,-0.021539778,0.011586824,9.296146313008825E-4,-141.4741245,-25.4056456,-31.47685341,-0.005448156,-0.001363565,-0.001418407,9.879656929236193,0.33679841444469416,0.1114416884080968,9.879656929236193,0.33679841444469416,0.1114416884080968,-92.39450195,-67.28470627,-4.596837893,-29.75,-7.41E-06,-1.72E-04,1.6605556553717955E-4,45,1.5,3.4096527099609375,68.61799621582031,8.708434104919434,271.29119873046875,155.6999969482422,-86.9105687,40.4250363,Garage
221,-0.881964993,-0.017799474,0.003190458,0.4709676972870688,-0.011145133,-0.034409039,2.1604512918342667,-0.021409306,0.011930796037455208,9.177535155209378E-4,-141.3920197,-25.42065147,-31.53138733,0.022782705,0.002698213,-9.34E-04,9.926470830602554,0.3435297646713488,0.10951229083087313,9.926470830602554,0.3435297646713488,0.10951229083087313,-92.31178581,-67.29971313,-4.651005921,-30.33333333,1.2305903347950537E-4,1.7198611918873E-4,1.541944537130953E-4,45,1.5,3.4096527099609375,68.61799621582031,8.708434104919434,271.29119873046875,155.6999969482422,-86.9105687,40.4250363,Garage
