seconds_elapsed,microphone_dBFS,gyroscope_z,gyroscope_y,gyroscope_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,magnetometer_z,magnetometer_y,magnetometer_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,accelerometer_z,accelerometer_y,accelerometer_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,class
92,-42.33333333,-0.05172186,-0.031606898,0.021923782,-104.5316718,22.783743495941163,-24.15465746,-45.67179699,-30.97701935,4.585369905233383,9.836179561985348,0.1735057832935409,-0.384286155,0.9949864727779499,0.013068726286292076,-0.015625328,0.092603781,0.033839998,-0.022942039,-2.955442135,-0.084674201,-0.053806674,-0.048543889,45,0.2769933044910431,1.0682709217071533,5.856999874,1.3169987201690674,178.50115966796875,154.6999969482422,-86.9104572,40.4266348,9.836179561985348,0.1735057832935409,-0.384286155,-0.073254227,-0.015247459,0.021972710011273766,Campus
93,-41.375,0.10981462019251532,-0.04592326,0.013846365199198277,-103.9748641,20.94325155258179,-26.73215155,-45.11523319,-32.81616943,2.007631959,9.836545397934405,0.3858455577684404,-0.10208409,0.9965461145326929,0.015816642497174523,0.008714911,0.077174513,-0.014631842,-0.032761077,-2.987230803,-0.083803705,0.061364746,-0.24720709,45,0.4014914035797119,1.0884054899215698,6.298999786376953,1.4340629577636719,184.16851806640625,154.6999969482422,-86.9104567,40.4266204,9.836545397934405,0.3858455577684404,-0.10208409,0.088282255,-0.029566787,0.013890844297333105,Campus
94,-30.66666667,-0.046752055,0.06694708,0.064659369,-103.34449,22.809851551055907,-27.13670341,-44.48473721,-30.94993526,1.6023479615151883,9.894563225599436,0.3482879919644732,0.14545313069398758,0.9967129155270105,0.023767274891159686,0.001148948,0.070422223,0.001266821,-0.047162856,-3.000370734,0.016158025241592554,-0.122730506,0.15836955209090872,45,0.4014914035797119,1.0884054899215698,6.298999786376953,1.4340629577636719,184.16851806640625,154.6999969482422,-86.9104567,40.4266204,9.894563225599436,0.3482879919644732,0.14545313069398758,-0.068284421,0.083310968,0.06470533,Campus
95,-39.77777778,0.019717615075156236,-0.062398345,-0.063001777,-105.5909978,20.99754159927368,-25.29255148,-46.73173325,-32.76236729,3.446865944042802,9.967404393316473,0.5058874299069324,-0.150983045,0.9969775300581478,0.025110329770894484,-0.008011368,0.068539359,0.019579187,-0.048889333,-3.003628048,0.029218983881681867,0.026150737102459937,0.043753521,45,0.29522690176963806,1.098265528678894,6.382999897003174,1.3985832929611206,183.96572875976562,154.6999969482422,-86.9104637,40.426591,9.967404393316473,0.5058874299069324,-0.150983045,-0.001814749,-0.04604187,-0.062983986,Campus
96,-42.5,-0.046918111,-0.014372703,-0.038413694,-104.66575,21.25203365325928,-27.69656149,-45.80624119,-32.50836323,1.0433439724892377,9.974240197,0.4340098249337193,0.288602283,0.9966088139895096,0.020970201337847348,0.015087039361990993,0.073231861,-0.026582335,-0.043876072,-2.995323612,0.035502017,-0.005781042,0.024845390933231244,45,0.27424728870391846,1.1082838773727417,6.423999786376953,1.305567741394043,176.77366638183594,154.6999969482422,-86.9104646,40.4265772,9.974240197,0.4340098249337193,0.288602283,-0.068450477,0.001982288,-0.038381076,Campus
97,-41.75,-0.007218969,0.052523968,0.020666506442634697,-106.9444659,23.288335571289064,-25.17543156,-48.08520123,-30.47193943,3.5645959352701904,10.011494432838218,0.1585390176262381,-0.194637535,0.9962168712060429,0.007931441,-0.004105212,0.080615172,0.009826849,-0.014691342,-2.979935074,0.096097738,0.012460545284076802,-0.094334024,45,0.28469082713127136,1.1182940006256104,6.486000061035156,1.3402869701385498,174.82510375976562,154.6999969482422,-86.9104602,40.4265651,10.011494432838218,0.1585390176262381,-0.194637535,-0.028751336,0.068880442,0.020706538,Campus
98,-53.55555556,0.025126282985263405,0.008958105,0.016088115,-106.0071398,20.76671760559082,-23.96104357,-47.14775311,-32.99441149,4.778861901760101,9.804698198744394,0.3770728401242963,-0.301036833,0.9957291640124275,0.019036077,-0.014158088,0.084791498,0.031674138465851036,-0.035267667,-2.971145028,-0.127207992,0.019560931883390666,0.016801669289475504,45,0.6836806535720825,1.1382122039794922,8.163999557495117,1.486350655555725,183.33387756347656,154.6999969482422,-86.9104614,40.4265495,9.804698198744394,0.3770728401242963,-0.301036833,0.003593919,0.025316060032442356,0.016131111902175744,Campus
99,-58,0.002478632,-0.039387902,0.002149712,-105.3296741,21.37134956359863,-25.2022715,-46.46882301,-32.38880333,3.537755917906761,9.807674732023072,0.2847168487168903,-0.099084347,0.9965551426777473,0.014238562791853418,-0.005155601,0.076565365,0.012578233995345026,-0.027325058,-2.98798673,-0.170590304,0.021916873,0.021352091,45,0.6881018280982971,1.1482335329055786,10.25100040435791,1.4402625560760498,178.59532165527344,154.6999969482422,-86.9104643,40.4265325,9.807674732023072,0.2847168487168903,-0.099084347,-0.019053737,-0.023041863,0.002177611,Campus
100,-50.5,0.012695837123952444,-0.015713007,-0.011026386,-105.2997841,22.59000743865967,-26.5288995,-46.44003109,-31.17026733,2.211249955892563,9.95506563,0.2621389493997236,0.11596187776931137,0.997547876,0.013035080914280505,0.00879695,0.063980674,-0.015675144,-0.027032184,-3.013659533,0.024746242,-0.006185134,-0.039778151,45,0.7285653352737427,1.1582605838775635,12.119999885559082,1.4300696849822998,178.24868774414062,154.6999969482422,-86.9104654,40.4265182,9.95506563,0.2621389493997236,0.11596187776931137,-0.008836528,6.360525889231742E-4,-0.010993768,Campus
101,-47.88888889,-0.178457841,-0.033706315,0.006611087,-106.481476,22.35576763153076,-24.92801552,-47.62086887,-31.40389736,3.812377957701683,9.911080138197223,0.052932486,0.33395847513620713,0.995344625,0.003592031,0.012113620709199503,0.088900625,-0.023852572,-0.009317054,-2.963501615,-0.015685873,-0.039501928,0.097135612,45,0.7285653352737427,1.1582605838775635,12.119999885559082,1.4300696849822998,178.24868774414062,154.6999969482422,-86.9104654,40.4265182,9.911080138197223,0.052932486,0.33395847513620713,-0.199990207,-0.01736615,0.00664074,Campus
102,-48.25,-0.063239001,0.016406882,-0.063713445,-104.3467203,22.856455593109132,-22.27256361,-45.48757706,-30.90345324,6.466853878498077,10.01316709425843,-0.018312064,0.2238305528801911,0.9824206244598315,-0.008178464,0.010788513877591823,0.1818879460102146,-0.024534061,0.01263713,-2.77582422,0.10143252715323735,0.1081736455987958,-0.018920885,45,0.32260701060295105,1.168235182762146,14.54699993133545,1.2995624542236328,177.00709533691406,154.6999969482422,-86.9104657,40.4264873,10.01316709425843,-0.018312064,0.2238305528801911,-0.084771365,0.032761873772313585,-0.063683791,Campus
103,-54.33333333,0.16575162505812363,-0.031500148,0.050058341,-103.5793401,23.421925468444826,-24.50321148,-44.71909924,-30.33847136,4.236937905550003,9.840268214,0.20138912535842182,0.086821129,0.9916864153250907,0.004983596,0.009660281,0.12385202126884923,-0.017612807,-0.011877495,-2.893178609,-0.09761939,0.08378837,-0.088457725,45,0.36840152740478516,1.1782736778259277,15.218000411987305,1.282085896,187.39944458007812,154.6999969482422,-86.9104676,40.4264714,9.840268214,0.20138912535842182,0.086821129,0.14421925771511296,-0.015148122,0.050098372,Campus
104,-42.625,0.063651174,0.027544467818462155,-0.026291637,-104.304874,22.51534362792969,-26.43154352,-45.44475506,-31.24456535,2.308727951645851,9.775123444887308,0.077378482,0.2721490635482881,0.9967134959489397,0.004805992,0.015257958419258182,0.073774666,-0.029253843,-0.011761972,-2.994026677,-0.134778388,-0.047801121,-0.024561392,45,0.2779570519924164,1.198273777961731,14.420999526977539,1.2537280321121216,173.6492919921875,154.6999969482422,-86.910469,40.4264634,9.775123444887308,0.077378482,0.2721490635482881,0.042118805912730185,0.043905387,-0.026259018,Campus
105,-38.55555556,0.009042615,0.016489911218653026,0.007417644,-104.6214639,24.344733448028563,-26.86244751,-45.76134495,-29.41566336,1.8781899518147112,9.924205784658783,-0.139884297,0.069005637,0.998590697,-0.008021376,0.002590979,0.047658515,-0.005981928,0.016050658,-3.046257616,-0.037469586,0.022923856828976602,0.013319342605118613,45,0.24134983122348785,1.198273777961731,12.888999938964844,1.238206386566162,167.4071807861328,154.6999969482422,-86.9104683,40.4264541,9.924205784658783,-0.139884297,0.069005637,-0.012489751,0.032843419,0.007451744,Campus
106,-44.25,0.033606977,0.017592994005699615,-3.99E-04,-104.7766481,24.89141555786133,-27.81185148,-45.91652912,-28.86898146,0.928297977,9.876590349141834,-0.021854836,0.1213660565277254,0.6886790475799042,0.005760721,0.004485397,0.030136595132840668,-0.011419488,0.008939734,-2.048667528,-0.03947189,0.056956492,0.015039761,45,0.24134983122348785,1.198273777961731,12.888999938964844,1.238206386566162,167.4071807861328,154.6999969482422,-86.9104683,40.4264541,9.876590349141834,-0.021854836,0.1213660565277254,0.012074611552095818,0.033945019,-3.50E-04,Campus
107,-51.22222222,-0.049634305,-0.02128773,-0.019329163,-104.9551343,24.734523582458497,-26.49595949,-46.09501507,-29.02538538,2.2439459604024887,9.922794508702546,-0.170250498,0.071479765,0.9990680536020149,-0.007263494,9.713074677280214E-4,0.035507571151100314,-0.002340542,0.014642708,-3.070512598,-0.046089043,-0.01451681,0.046651194703955096,45,0.3438029885292053,1.218306541442871,11.397000312805176,1.3441814184188843,178.83206176757812,154.6999969482422,-86.9104673,40.4264231,9.922794508702546,-0.170250498,0.071479765,-0.071166672,-0.004935704,-0.019292098,Campus
108,-51.25,-0.08713914,-0.004421229,0.058218785,-104.4692083,22.98711763381958,-24.81321354,-45.60835709,-30.77279137,3.9259599113464354,9.875875954489105,0.039478672,-0.012605882,0.9971721073956166,0.003685327,0.005482166,0.070748014,-0.010404467,-0.007707129,-3.000026863,-0.052208002,-0.042682208,-0.113697703,45,0.32630398869514465,1.228306770324707,11.302000045776367,1.3192051649093628,177.76705932617188,154.6999969482422,-86.9104632,40.4264009,9.875875954489105,0.039478672,-0.012605882,-0.108671505,0.011932278431734993,0.058263264,Campus
109,-57.33333333,-0.056761807,-0.039599349,-0.036039989,-103.8438363,21.853371562957765,-24.15416954,-44.98481529,-31.90678135,4.585491914749145,9.896095933266057,0.2149591079711896,0.2611312912460597,0.9935817982141788,0.007908671,0.016991739704210956,0.10966157927536048,-0.032073983,-0.019296995,-2.92199663,-0.028006425,0.034775739105848164,-0.06353976,45,0.3347263038158417,1.2382200956344604,11.152000427246094,1.3741440773010254,184.67568969726562,154.6999969482422,-86.9104696,40.4263841,9.896095933266057,0.2149591079711896,0.2611312912460597,-0.078294173,-0.023259184,-0.036019432,Campus
110,-63,0.11357459349069492,0.005565826,0.028340644,-104.3275661,23.029817543029786,-26.04882954,-45.4683009,-30.73070137,2.6914419466257096,10.118201570603453,0.016288039,0.4267181020808741,0.9960303404956188,-0.001126515,0.021487589030372865,0.07808812,-0.042797063,-0.001057896,-2.985143476,0.19741743513681356,0.006302836,0.001934913,45,0.33027559518814087,1.248252272605896,12.531999588012695,1.309445858001709,188.02120971679688,154.6999969482422,-86.9104713,40.426364,10.118201570603453,0.016288039,0.4267181020808741,0.092042227,0.0219223,0.028379193314993122,Campus
111,-47.66666667,-0.084446669,0.029703188920393586,-0.047285805,-104.17104,21.75943162918091,-25.58632748,-45.31055519,-32.00218542,3.153699939250946,9.916196790713709,0.2243764929798911,0.1493249098607565,0.9969316339029849,0.007825054,0.00700101,0.074703069,-0.012686744,-0.016467753,-2.991994022,-0.006359684,0.061444279638308924,0.022990464567414767,45,0.7113233804702759,1.2682682275772095,14.86299991607666,1.5011932849884033,183.71827697753906,154.6999969482422,-86.9104704,40.4263529,9.916196790713709,0.2243764929798911,0.1493249098607565,-0.105979035,0.046053732,-0.047251705,Campus
112,-46.77777778,0.008698643,-0.005737813,0.05998609,-104.8591199,23.13559154510498,-25.11638346,-46.00070911,-30.62407343,3.624375935,10.20758975593789,0.037416893,0.097748546,0.9968187612237283,7.365338867547181E-4,0.002188727,0.075494359,-0.004241707,-0.001705387,-2.990537384,0.25659076449940504,0.020965045914777273,0.055968884,45,0.6749791502952576,1.2782659530639648,14.79699993133545,1.5380080938339233,182.24310302734375,154.6999969482422,-86.9104699,40.4263419,10.20758975593789,0.037416893,0.097748546,-0.012833723,0.010615695823996681,0.060039466,Campus
