seconds_elapsed,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,accelerometer_z,accelerometer_y,accelerometer_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscope_z,gyroscope_y,gyroscope_x,magnetometer_z,magnetometer_y,magnetometer_x,microphone_dBFS,class
132,-0.166714226,0.004232766,-0.015677671,0.9858714237953853,0.003120162,0.032329426,0.3349868229870657,9.916495506580059,-0.324454671,-0.031227486,9.916495506580059,-0.324454671,-0.031227486,0,1.5,1,16.138999938964844,0.083133616,0,149.39999389648438,-86.9109882,40.4279925,-0.017322827,-0.002703715,6.272580872461634E-4,-0.021575362,0.013022018234851291,4.5517017359583125E-4,-111.5471599,31.878233375549318,-59.01493694,-4.30E-05,1.942257728038844E-4,-3.08E-04,-70.56711662,34.09826740264893,-10.77516178,-110.125,Classroom
133,-0.166773335,0.004241346,-0.015857858,0.9858585381970822,0.003075035,0.032687814,0.3351078698936018,9.894307118017696,-0.322935228,-0.027738157,9.894307118017696,-0.322935228,-0.027738157,0,1.5,1,16.138999938964844,0.083133616,0,149.39999389648438,-86.9109882,40.4279925,-0.010094059,-1.93E-04,0.003158558,-0.021575362,0.013211796069246473,8.110034927156148E-4,-111.5628976,31.842853298187254,-58.99017078,-4.30E-05,3.8400354277505315E-4,4.7444447296337016E-5,-70.58297722,34.06276527404785,-10.75051781,-131.2222222,Classroom
134,-0.166685018,0.004204157,-0.015958836,0.985872007,0.00297093,0.032874293082836764,0.33493062304061594,9.896249863707904,-0.326030797,-0.029828973,9.896249863707904,-0.326030797,-0.029828973,0,1.5,1,16.138999938964844,0.083133616,0,149.39999389648438,-86.9109882,40.4279925,-0.001008617,3.060339723975913E-4,-0.001707761,-0.021421168,0.012855962714523946,5.619201636240247E-4,-111.6116978,31.85883539199829,-59.0088369,1.1119791148320853E-4,2.8170183531542136E-5,-2.02E-04,-70.63189857,34.07850322723389,-10.76869574,-135.875,Classroom
135,-0.166655894,0.004201574,-0.015968021,0.9858768177263945,0.002963742,0.032891424,0.3348716656559879,9.901235821177659,-0.32619632,-0.025789633,9.901235821177659,-0.32619632,-0.025789633,0,1.5,1,16.138999938964844,0.083133616,0,149.39999389648438,-86.9109882,40.4279925,0.002980408,-2.30E-04,0.004012031,-0.02155164,0.013093185,6.686701655197997E-4,-111.5764397,31.867619285583498,-58.98602287,-1.93E-05,2.653924041897854E-4,-9.49E-05,-70.59639702,34.08789737701416,-10.74636979,-128.2222222,Classroom
136,-0.166722825,0.004260805,-0.015935677,0.9858657413950334,0.003089123,0.03284762,0.33500536760458577,9.908829596436139,-0.321227728,-0.029849301,9.908829596436139,-0.321227728,-0.029849301,45,1.5,1.1027408838272095,16.13800048828125,0.20365789532661438,304.4240417480469,149.39999389648438,-86.9109987,40.4279979,0.004894669,0.004173569,5.675628423117674E-4,-0.021602848,0.013121469129915707,4.8162954492279544E-4,-111.5480138,31.839925289154053,-58.9894389,-7.05E-05,2.9367659870051564E-4,-2.82E-04,-70.56772728,34.06008132934571,-10.75015175,-124.25,Classroom
137,-0.166461027,0.004161673,-0.015837333,0.9859120232387654,0.002935033,0.032619769,0.3344764671858075,9.917073824,-0.322668069,-0.027485518,9.917073824,-0.322668069,-0.027485518,45,1.5,1.1027408838272095,16.13800048828125,0.20365789532661438,304.4240417480469,149.39999389648438,-86.9109987,40.4279979,0.001684115,9.821401637734718E-4,0.001685815,-0.021468612,0.012844101634346744,7.161146077300305E-4,-111.558384,31.88347927093506,-59.05080498,6.375345231929016E-5,1.6309026497624162E-5,-4.74E-05,-70.57834068,34.10351329803467,-10.81017579,-125.8888889,Classroom
138,-0.166507373,0.00418521,-0.01589479,0.9859031473548667,0.00296081,0.032741128,0.33457023426167015,9.908463663267858,-0.324073561,-0.027624905,9.908463663267858,-0.324073561,-0.027624905,45,1.5,1.1027408838272095,16.13800048828125,0.20365789532661438,304.4240417480469,149.39999389648438,-86.9109987,40.4279979,-0.003382405,6.773260611932254E-4,0.001791757,-0.021599085,0.013140629452553768,6.330868108333676E-4,-111.5665574,31.85737133026123,-59.01066685,-6.67E-05,3.1283687804689977E-4,-1.30E-04,-70.58663658,34.07752758026123,-10.77113573,-119.8888889,Classroom
139,-0.166405696,0.004137888,-0.015909096,0.9859202880303837,0.002866064,0.032753275,0.3343655171903592,9.909419115307262,-0.326007566,-0.02915817,9.909419115307262,-0.326007566,-0.02915817,45,1.5,1.1027408838272095,16.13800048828125,0.20365789532661438,304.4240417480469,149.39999389648438,-86.9109987,40.4279979,6.99802509789328E-4,-0.001233976,-6.90E-04,-0.021622807,0.012927129,6.212257074861272E-4,-111.5171487,31.83760736465454,-59.04726688,-9.04E-05,9.933684712944968E-5,-1.42E-04,-70.53734856,34.05788558959961,-10.80651575,-128.125,Classroom
140,-0.166417503,0.004153339,-0.015862366,0.985918998,0.002911694,0.032666242,0.33438862064509717,9.910110242158463,-0.32032461,-0.026393647,9.910110242158463,-0.32032461,-0.026393647,45,1.5,1.1027408838272095,16.13800048828125,0.20365789532661438,304.4240417480469,149.39999389648438,-86.9109987,40.4279979,6.0626835498995E-4,0.003576309,0.002529829,-0.021753279,0.013235518,5.263368417147222E-4,-111.5320319,31.83577730178833,-59.06983692,-2.21E-04,4.077257200831421E-4,-2.37E-04,-70.55198914,34.05593338012695,-10.82957373,-137.3333333,Classroom
141,-0.166328101,0.004119881,-0.015858327,0.9859343101677386,0.002850016,0.032646869,0.33420821937542516,9.915454387664795,-0.324152692,-0.028230705,9.915454387664795,-0.324152692,-0.028230705,45,1.5,1,16.868999481201172,0.1999732106924057,142.81129455566406,149.39999389648438,-86.9109905,40.42799,0.003654656,-5.85E-04,3.911303446709531E-4,-0.021705834,0.013093184941963664,6.686701536522183E-4,-111.5126339,31.864813289642335,-58.96845493,-1.73E-04,2.653923533287225E-4,-9.49E-05,-70.53283516,34.08509147644043,-10.72806977,-138.125,Classroom
142,-0.166237754,0.004100219,-0.015810365,0.9859504115234301,0.002830166,0.032545446,0.33402512171893445,9.921627072454656,-0.32168945,-0.026718885,9.921627072454656,-0.32168945,-0.026718885,45,1.5,1,16.868999481201172,0.1999732106924057,142.81129455566406,149.39999389648438,-86.9109905,40.42799,0.001611367,0.001606741,0.001217225,-0.021622806,0.013022018325270958,6.330868272219324E-4,-111.5569192,31.86957139968872,-59.0109108,-9.04E-05,1.9422569199130661E-4,-1.30E-04,-70.57687698,34.08960536956787,-10.77137973,-132.2222222,Classroom
143,-0.166263276,0.004116769,-0.015852802,0.9859453630678862,0.002847859,0.032634724,0.33407672718890663,9.914326640008722,-0.32371057,-0.028461232,9.914326640008722,-0.32371057,-0.028461232,45,1.5,1,16.868999481201172,0.1999732106924057,142.81129455566406,149.39999389648438,-86.9109905,40.42799,-0.001979189,2.091003274454654E-4,-2.68E-04,-0.021693973,0.012986434976235755,5.381979399758563E-4,-111.523126,31.897387390136718,-58.97723888,-1.62E-04,1.5864236330052892E-4,-2.25E-04,-70.54320496,34.11717731,-10.73673176,-133.25,Classroom
