seconds_elapsed,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,microphone_dBFS,magnetometer_z,magnetometer_y,magnetometer_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,accelerometer_z,accelerometer_y,accelerometer_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,gyroscope_z,gyroscope_y,gyroscope_x,class
165,0.1762764220340894,0.040774054834820654,-0.016128717,-28.875,1.0112579786777496,-22.68272751,-18.8220377,-59.64836067,13.197105703353882,-53.6814629,0.014737688578092135,-0.111592135,0.052429115,9.654891282609366,1.9154719496236263,-0.527689989,45,1.5,1.4996659755706787,50.23099899291992,4.705700874328613,104.10197448730469,156.09999084472656,-86.9094788,40.4245349,9.654891282609366,1.9154719496236263,-0.527689989,-0.462582857,-0.022032888,0.10529413711852752,0.8796585809725982,0.060195179,-0.207045813,0.9745604195273839,0.19735065317497805,0.029167957,-0.016892276,Garage
166,0.089171838,0.029473380348984224,7.872812475927753E-4,-21.22222222,1.6551739633083344,-22.80448357,-16.32433165,-59.00542088,13.075593795776367,-51.18485489,0.064556187,-0.163748076,0.1175308914728535,9.756336489927422,1.6052674691653945,-0.270185686,45,1.5,1.4996659755706787,50.23099899291992,4.705700874328613,104.10197448730469,156.09999084472656,-86.9094788,40.4245349,9.756336489927422,1.6052674691653945,-0.270185686,-0.407153853,-0.018893247,0.090299355,0.9085858371651289,0.039998854,-0.18040863,0.8462366820539086,0.11024606929531375,0.017867282,2.3722246253085368E-5,Garage
167,0.026165612765307565,0.019711685453957507,9.651978972630159E-4,-31.33333333,-0.018665999,-23.12583143,-14.31096569,-60.67852886,12.754367804527282,-49.17026924,-0.028350765,-0.129944118,0.084739395,9.757663578663058,1.3977510929107666,-0.087172503,45,1.5,1.4996659755706787,50.23099899291992,4.705700874328613,104.10197448730469,156.09999084472656,-86.9094788,40.4245349,9.757663578663058,1.3977510929107666,-0.087172503,-0.384190406,-0.021783383,0.074724453,0.91995264,0.017572039114401757,-0.154829782,0.7925879683309388,0.047239844,0.008105587,2.016390004710665E-4,Garage
168,0.002680611,0.017280157506285074,0.006195948,-27.75,0.2895059991814196,-23.34396746,-12.83708374,-60.37121086,12.535987720489501,-47.69833897,0.076729284,0.13754271187828582,0.074947388,9.920857568389003,1.6208817924110634,0.001007656,45,1.5,1.0648452043533325,51.231998443603516,3.9888815879821777,299.26800537109375,155,-86.9097833,40.4246514,9.920857568389003,1.6208817924110634,0.001007656,-0.382168755,-0.025191172,0.070427342,0.9210555669173454,0.007514904,-0.149548775,0.7871734766126837,0.023754842,0.005674059,0.005432389,Garage
169,-0.014956862,0.016876879709917438,-0.001015608,-25.22222222,0.6252499906346202,-23.72960957,-13.21028173,-60.03461288,12.150467739105224,-48.07031719,-0.065889979,0.097522829,0.11245328180708931,9.779566792,1.6636962231535177,0.032113289939633645,45,1.5,1.0648452043533325,51.231998443603516,3.9888815879821777,299.26800537109375,155,-86.9097833,40.4246514,9.779566792,1.6636962231535177,0.032113289939633645,-0.389686736,-0.027104987,0.073955404,0.917564256,0.007990986,-0.157491584,0.8038575215247071,0.006117368,0.005270782,-0.001779167,Garage
170,-0.01738839,0.009321351,-0.003874136,-25.125,2.8461379438638685,-23.2270915,-13.06083167,-57.81360283,12.652985706329346,-47.92196522,-0.101144957,0.01189236,0.097958803,9.729411458506167,1.5205110189984146,0.054189882,45,1.5,1.0648452043533325,51.231998443603516,3.9888815879821777,299.26800537109375,155,-86.9097833,40.4246514,9.729411458506167,1.5205110189984146,0.054189882,-0.401561055,-0.028659241,0.070700332,0.9126380010715966,0.004512629,-0.152666576,0.8293613241714182,0.00368584,-0.002284747,-0.004637695,Garage
171,-0.014684057,0.011966379,0.004286309,-24.55555556,0.319762007,-21.47895367,-11.15104383,-60.34022305,14.40124568939209,-46.01229904,-0.07034961,-0.173995763,0.024617433,9.791578348400524,1.1804485224115038,0.025824480043561422,45,1.5,1.0648452043533325,51.231998443603516,3.9888815879821777,299.26800537109375,155,-86.9097833,40.4246514,9.791578348400524,1.1804485224115038,0.025824480043561422,-0.413785344,-0.028518183,0.062391464,0.9077716232503502,-1.68E-04,-0.137313785,0.8553665303489537,0.006390174,3.602813394713098E-4,0.00352275,Garage
172,-0.016759751,0.013674379336575353,-0.008333914,-24.125,6.183081879615783,-24.98145157,-12.83403373,-54.47690269,10.89825975894928,-47.69358105,0.058714098,-0.086148235,0.026397341,9.94484101,1.1637974932645132,0.012208041653615756,45,1.5,1.0648452043533325,51.231998443603516,3.9888815879821777,299.26800537109375,155,-86.9097833,40.4246514,9.94484101,1.1637974932645132,0.012208041653615756,-0.427100786,-0.026229666,0.056895347,0.9020200846264663,0.001286318,-0.125373423,0.884517964,0.004314479,0.002068281,-0.009097473,Garage
173,-0.020439889,0.010948262505385524,0.002713572,-25.33333333,4.125307931900024,-24.03778154,-12.12692177,-56.53431076,11.842417736053466,-46.98585911,0.08921802,-0.269973412,0.041118773,9.964785034216723,0.9404780338111433,0.055641837883740664,45,1.5,1,46.08000183105469,20.781143188476562,358.8543395996094,155,-86.9097668,40.4258109,9.964785034216723,0.9404780338111433,0.055641837883740664,-0.441177959,-0.027474784,0.054483115,0.895325536,-0.001140742,-0.122117615,0.9156043936426823,6.343413204796469E-4,-6.58E-04,0.001950012,Garage
174,-0.02037739,0.007447296,0.007500671,-24.25,3.7584539246559143,-23.40240551,-12.15900774,-56.90177479,12.477305679321288,-47.01892094,-0.004309534,-0.31325249,0.033760914542865984,9.896554733943013,0.8188477245349328,0.10058566959556735,45,1.5,1,46.08000183105469,20.781143188476562,358.8543395996094,155,-86.9097668,40.4258109,9.896554733943013,0.8188477245349328,0.10058566959556735,-0.456952462,-0.029021365,0.049046458,0.8876482566583503,-0.006748724,-0.113847818,0.9504339781779687,6.968402789760996E-4,-0.004158802,0.006737112,Garage
