seconds_elapsed,microphone_dBFS,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,accelerometer_z,accelerometer_y,accelerometer_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,magnetometer_z,magnetometer_y,magnetometer_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,gyroscope_z,gyroscope_y,gyroscope_x,class
351,-143.3333333,-109.1117957,18.634035606384277,-28.42746344,0.00267613,0.002686906,-0.002241855,9.894022608266294,-0.243458088,-0.19187011,9.894022608266294,-0.243458088,-0.19187011,-0.021587223,0.013579491,4.433090532949032E-4,-136.7117332,24.57275152206421,16.332383651733398,0,0.2765863239765167,1.1958279609680176,10.13599967956543,3.277882933616638E-5,0,160.09999084472656,-86.9154809,40.3848524,-0.52281616,0.014670226325109167,-0.005590673,0.8523008777099905,0.019168201942466996,0.024872100125383406,1.1002152903566083,9.78541725486951E-5,-3.17E-04,-1.68E-04,Home
352,-91.625,-108.9612479,18.652457637786867,-28.46796745,0.015201689,0.002234524,-0.001884179,9.918923572429176,-0.241884169,-0.190615622,9.918923572429176,-0.241884169,-0.190615622,-0.021682112,0.013330407223655182,1.7050347229899857E-4,-136.5620393,24.591661491394042,16.29200174331665,45,1.5,1.0569603443145752,10.869999885559082,0.5611602067947388,352.5420227050781,160.09999084472656,-86.9154826,40.3848623,-0.52254659,0.014588179880554237,-0.005539477,0.8524678517313837,0.019089560684503862,0.024693004913555767,1.099583707966851,2.9652779560210635E-6,-5.66E-04,-4.40E-04,Home
353,-100.6666667,-108.957466,18.608903522491456,-28.4017215,0.015107136328243514,0.003648179,-6.57E-05,9.951578121740841,-0.238175873,-0.191986267,9.951578121740841,-0.238175873,-0.191986267,-0.021729556,0.014113240595002777,6.805312773438839E-4,-136.5570367,24.549449577331544,16.358735656738283,45,1.5,1.0669233798980713,11.550999641418457,0.4708893299102783,352.5416259765625,160.09999084472656,-86.9154832,40.3848656,-0.522153268,0.014548792530900067,-0.005333085,0.8527107163540368,0.019249160801178042,0.024290998963621056,1.0986609840856014,-4.45E-05,2.164653450413381E-4,6.968399127764465E-5,Home
354,-102.5,-108.9705198,18.59963156,-28.42685339,0.002169322,1.626998475454386E-4,3.045102924976534E-5,9.951522956774072,-0.237339547,-0.191057015,9.951522956774072,-0.237339547,-0.191057015,-0.021385584,0.013876018358521092,8.347257146684145E-4,-136.5697249,24.54005546569824,16.332993621826173,45,1.5,1.0769120454788208,12.220999717712402,0.266771138,352.5414733886719,160.09999084472656,-86.9154833,40.3848662,-0.521696124,0.014448378669116104,-0.005176418,0.8529932012835753,0.019254283,0.023908531003930037,1.0975897184853416,2.9949307694886494E-4,-2.08E-05,2.2387844273024827E-4,Home
355,-102.2222222,-108.9602721,18.62744755,-28.40355141,-0.00180283,0.001443457,-0.001448896,9.947858236,-0.234670854,-0.193171062,9.947858236,-0.234670854,-0.193171062,-0.021661583,0.013826293,3.1717067591111676E-4,-136.5602084,24.56713956832886,16.357027740478514,45,1.5,1.0869067907333374,12.866000175476074,0.12223474681377411,352.80596923828125,160.09999084472656,-86.9154832,40.384866,-0.521444666,0.014392006846789557,-0.005092066,0.8531484546569678,0.019253117,0.023700097145942543,1.0970006390259817,2.3494127582615383E-5,-4.70E-05,-2.70E-04,Home
356,-109.7777778,-108.9477057,18.613173694610595,-28.38756948,-0.001925163,-4.27E-04,-0.001454638,9.944097602251665,-0.238338494,-0.194193238,9.944097602251665,-0.238338494,-0.194193238,-0.021575362,0.013840435018527854,3.958645862192639E-4,-136.5475204,24.55298755645752,16.37203369140625,0,1.5,1.096897006034851,13.53600025177002,0.051693875,0,160.09999084472656,-86.9154832,40.3848659,-0.521782894,0.014504182685926122,-0.005146819,0.8529394153252389,0.019378037074381866,0.023918225764504916,1.0977923488153996,1.0971528889376273E-4,9.63715742595349E-5,-6.23E-05,Home
357,-121.125,-108.9753999,18.58462553024292,-28.31656549,-0.01243632,-0.001397069,0.001055407,9.925512554576096,-0.237040443,-0.191893342,9.925512554576096,-0.237040443,-0.191893342,-0.021397445,0.013496462816318262,7.754201696760664E-4,-136.575215,24.52492752075195,16.443281650543213,45,0.380788654,1.106843113899231,13.13599967956543,0.580623448,173.00318908691406,160.09999084472656,-86.9154814,40.384855,-0.521553552,0.014463842367228953,-0.005051957,0.8530809277469672,0.019414558,0.023709050406819407,1.0972549082006064,2.876319651247807E-4,-2.48E-04,3.172847311220412E-4,Home
358,-93.66666667,-108.991748,18.598533592224122,-28.36865952,-0.015784717,-0.001060649,4.146836915062469E-4,9.889913494147143,-0.240272498,-0.190453001,9.889913494147143,-0.240272498,-0.190453001,-0.021682112,0.013484602,2.8911458658398064E-4,-136.5915637,24.53907958984375,16.390699710845947,45,0.20124611258506775,1.1168442964553833,12.781000137329102,0.4345538914203644,173.0283660888672,160.09999084472656,-86.915481,40.3848523,-0.521990276,0.014517896356585534,-0.005269315,0.852811503,0.019267721210145257,0.024146242,1.0982788372965693,2.9652802165127493E-6,-2.59E-04,-1.69E-04,Home
359,-118.25,-108.9868682,18.55107557296753,-28.29985155,-0.004149224,-5.00E-04,-0.001070788,9.885273795861464,-0.244274981,-0.192208081,9.885273795861464,-0.244274981,-0.192208081,-0.021409306,0.013472740556502227,6.805312711275318E-4,-136.5870486,24.490523567199705,16.46023968,45,0.2801785171031952,1.1268292665481567,12.38599967956543,0.2194586843252182,173.04090881347656,160.09999084472656,-86.915481,40.3848521,-0.522631638,0.014684299694247616,-0.005447944,0.8524145640215828,0.019346650943015384,0.024639377,1.0997817770948688,2.757708623426632E-4,-2.71E-04,2.2239580714297527E-4,Home
360,-97.22222222,-108.9490482,18.62159173965454,-28.32669138,0.002340715,-4.89E-04,-0.002654721,9.891118595901045,-0.243196736,-0.193682149,9.891118595901045,-0.243196736,-0.193682149,-0.021539778,0.013662518399939375,6.568090474793633E-4,-136.5478865,24.56140541,16.433521537780763,0,0.18867962062358856,1.1368420124053955,12.02299976348877,0.087220088,0,160.09999084472656,-86.915481,40.3848524,-0.52248281,0.014636587161679291,-0.005421122,0.8525068632607321,0.019297636466697583,0.024540322516294358,1.099433066775498,1.452986198450321E-4,-8.15E-05,1.9867360383923194E-4,Home
