seconds_elapsed,microphone_dBFS,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,gyroscope_z,gyroscope_y,gyroscope_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,magnetometer_z,magnetometer_y,magnetometer_x,accelerometer_z,accelerometer_y,accelerometer_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,class
93,-133.3333333,9.950132110743846,-0.232124124,0.16876949890724663,9.950132110743846,-0.232124124,0.16876949890724663,-0.613376818,5.060341390012537E-4,-0.014432594,0.7896583508519293,-0.016911502,0.023416558,1.321018261816895,3.51385445135094E-4,1.3492014417334377E-4,-1.32E-04,-114.5090757,54.33208889007568,-32.52739544,-48.8700272,6.1517278623580935,-20.34825754,0.001852961,0.001134221,2.918373612524236E-4,-0.020875556,0.014184407293073182,4.78892388202033E-4,45,1.5,1.1725801229476929,13.98799991607666,0.19639089703559875,329.1951599121094,167.59999084472656,-86.9131271,40.4274991,Garage
94,-111.25,9.943293339997819,-0.234304962,0.1703724576142228,9.943293339997819,-0.234304962,0.1703724576142228,-0.613471423,4.982770512399909E-4,-0.014525181,0.7895831654851253,-0.017040261,0.023551207626811586,1.3212626095001514,7.048237883002282E-5,2.3494119746968725E-5,-2.11E-04,-114.4960217,54.341238784790036,-32.55569912,-48.85587509,6.1613658428192135,-20.37631756,-5.69E-04,-2.52E-04,8.786671723310764E-4,-0.021156459,0.014072981286937227,3.994001291665392E-4,45,1.5,1.1725801229476929,13.98799991607666,0.19639089703559875,329.1951599121094,167.59999084472656,-86.9131271,40.4274991,Garage
95,-91.88888889,9.942268288251265,-0.234319482,0.16858364800805026,9.942268288251265,-0.234319482,0.16858364800805026,-0.613563792,5.480459302401586E-4,-0.014541819,0.7895110521501708,-0.016984854,0.023636577922163657,1.321497078080779,7.41319545517558E-6,4.0031249580669754E-5,-1.44E-04,-114.4996815,54.34709491729736,-32.6317054,-48.86014492,6.1664898443222045,-20.45122568,-0.001456316,6.58501409789891E-4,-4.52E-04,-0.021219528,0.014089518416564441,4.6703127637794876E-4,45,1.5,1.1725801229476929,13.98799991607666,0.19639089703559875,329.1951599121094,167.59999084472656,-86.9131271,40.4274991,Garage
96,-93.75,9.936994729,-0.233831624,0.16955936157587662,9.936994729,-0.233831624,0.16955936157587662,-0.613454691,5.142562960509609E-4,-0.014490022,0.7895967977718242,-0.016971346,0.023515664,1.321218336670144,1.85329875642054E-4,4.003124618993222E-5,-1.32E-04,-114.5149312,54.352096786499025,-32.49787144,-48.874907,6.172467851638794,-20.31641567,-0.004881137,-9.97E-05,6.893638846943679E-4,-0.021041612,0.014089518398480508,4.78892388202033E-4,45,1.5,1,11.607000350952148,0.14876356720924377,131.11680603027344,167.59999084472656,-86.9131133,40.4274898,Garage
97,-76,9.897547930189706,-0.18180225,0.34337004954085765,9.897547930189706,-0.18180225,0.34337004954085765,-0.612581666,-0.008227791,-0.017802668,0.7901300874728601,-0.034833061,0.018070422,1.3192688377158155,-5.86E-04,-0.036254971,0.013520184866473694,-114.3585278,54.06588493347168,-33.26805748,-48.71838112,5.8856458616256715,-21.08879759,-0.018100771,-0.002535284,-0.002081923,-0.021812584,-0.022205484,0.014131032161581899,45,1.5,1,11.607000350952148,0.14876356720924377,131.11680603027344,167.59999084472656,-86.9131133,40.4274898,Garage
98,-78.22222222,9.885170239668627,-0.172720381,0.37749078038793343,9.885170239668627,-0.172720381,0.37749078038793343,-0.611945889,-0.009802794,-0.018580287,0.790593053,-0.038266294,0.017410475408061614,1.317723040441865,9.207188166469987E-4,0.034828672,-0.013451983,-114.302408,53.93278301239014,-33.60343529,-48.66226097,5.752665901184082,-21.4230776,-0.004149094,1.3927876659967366E-4,7.875026429741128E-4,-0.020306223,0.048878159,-0.012841136,45,1.5,1,11.607000350952148,0.14876356720924377,131.11680603027344,167.59999084472656,-86.9131133,40.4274898,Garage
99,-93.25,9.892349891,-0.239328727,0.1752510264660548,9.892349891,-0.239328727,0.1752510264660548,-0.615398387,4.1114267225160256E-4,-0.015009924,0.7880731323390331,-0.017832322,0.024166305,1.326174196687717,-4.00E-05,8.940312913076464E-4,-3.45E-04,-114.5422599,54.33599304199219,-32.58632126,-48.90211308,6.155143842697144,-20.40742762,-0.001213305,-2.04E-04,-0.001272063,-0.021266973,0.014943518,2.6539237423827056E-4,45,1.5,1,11.607000350952148,0.14876356720924377,131.11680603027344,167.59999084472656,-86.9131133,40.4274898,Garage
100,-96.77777778,9.897739669651662,-0.240048897,0.17137140252636474,9.897739669651662,-0.240048897,0.17137140252636474,-0.615600061,6.849013480303574E-4,-0.014893339,0.7879176845828306,-0.017263353,0.024315098372911945,1.326677932322604,3.113541966846701E-5,-4.30E-05,-1.20E-04,-114.533476,54.377350883483885,-32.56240906,-48.89345078,6.198087873458863,-20.38241764,0.002277587,6.125148349595301E-4,4.931112516273573E-4,-0.021195806,0.014006490629274868,4.90753501721486E-4,45,1.5,1,11.607000350952148,0.14876356720924377,131.11680603027344,167.59999084472656,-86.9131133,40.4274898,Garage
101,-91.5,9.905545336528888,-0.239137069,0.17081094779146527,9.905545336528888,-0.239137069,0.17081094779146527,-0.615445345,6.394567927662103E-4,-0.014880087,0.7880388261045067,-0.017313889,0.024241649446267527,1.3262848773048919,2.2091321111430677E-4,-1.62E-04,-8.45E-05,-114.5185915,54.322572746276855,-32.5208073,-48.87795708,6.142943849563599,-20.33971758,0.005082936,6.325600795375491E-4,-6.27E-04,-0.021006028,0.013887879574327792,5.263368360634929E-4,45,1.5,1,11.607000350952148,0.14876356720924377,131.11680603027344,167.59999084472656,-86.9131133,40.4274898,Garage
102,-78.55555556,9.908115257337256,-0.240298633,0.1717431033120572,9.908115257337256,-0.240298633,0.1717431033120572,-0.615294587,6.066201128235732E-4,-0.014827651,0.7881575375795364,-0.017296434,0.024121899,1.3258998073064363,3.524120592583831E-5,-2.00E-04,-2.35E-05,-114.4564938,54.31537483215332,-32.53312931,-48.81707916,6.134647841453552,-20.35277155,-2.01E-04,-0.001204053,4.80492957509481E-5,-0.021191701,0.013849787100648077,5.873531296786566E-4,45,1.5,1,11.607000350952148,0.14876356720924377,131.11680603027344,167.59999084472656,-86.9131133,40.4274898,Garage
