seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,gyroscope_z,gyroscope_y,gyroscope_x,microphone_dBFS,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,magnetometer_z,magnetometer_y,magnetometer_x,class
117,0.018992433270204414,-0.096393747,-0.025242031,9.930733773314838,-1.90508466,0.13943999688094708,-0.00259017,0.00205049,-0.003300354,-26.55555556,-48.07800308,73.84867271,-49.22370506,-0.086694225,-3.71E-04,-0.090366049,0.9921227190101031,-0.016681551,0.18022310675926578,0.1758259244046165,9.930733773314838,-1.90508466,0.13943999688094708,-0.023817113,0.015489129437183401,-0.002842219,1.0101232528686523,1.1601723432540894,2.5,3.9000000953674316,11.693933486938477,346.7953796386719,155.6661376953125,-86.9125871,40.3885596,10.00131586074829,40.30855525970459,-17.54408762,Drive
118,-6.59E-04,-0.068407649,-0.019422104,9.948325657,-1.981524315,0.076346723,0.002067483,0.00563859,0.010537115271570375,-31.625,-48.78279705,74.30629493713379,-48.00150921,-0.090602353,0.003858328,-0.094916252,0.991344541,-0.009724585,0.19003290912279716,0.18320748023688793,9.948325657,-1.981524315,0.076346723,-0.019159459,0.019077230003089286,0.010995250657008281,1.0507687330245972,1.1183022260665894,2.5,3.9000000953674316,10.41793441772461,347.19525146484375,155.53631591796875,-86.912612,40.3886392,9.297253838,40.765933189392086,-16.32311171,Drive
119,-0.028134068,0.14125130014512147,-0.004977451,9.892953872680664,-1.644063716,0.050115696,9.088576415291472E-4,-0.002848149,0.001076396,-31.22222222,-48.80353691,72.36576240539551,-47.94380314,-0.094084676,0.005657518,-0.088754838,0.9915754523092103,-0.005559441,0.17801979950909474,0.18969482834478027,9.892953872680664,-1.644063716,0.050115696,-0.020318085,0.01059049,0.001534531,1.081879973,1.0511897802352905,2.5,3.9000000953674316,8.648246765136719,347.82989501953125,154.98626708984375,-86.9126328,40.3886962,9.276513833999633,38.82540100097656,-16.26418577,Drive
120,0.010286747830585368,0.19148966525364847,-0.010689324,9.911762497,-1.299854434,0.085296577,-5.38E-04,-0.005137344,-2.16E-04,-32.875,-48.33761909,72.39016288757324,-48.9599411,-0.098831582,0.002608015,-0.074778641,0.9922736073003232,-0.009698181,0.14947510271975137,0.19926553299126115,9.911762497,-1.299854434,0.085296577,-0.02176514,0.008301296,2.4167014437374994E-4,1.1317319869995117,1.0499523878097534,2.5,3.9000000953674316,7.005316257476807,348.2895202636719,155.020752,-86.9126478,40.3887433,9.742431812286377,38.85053329467773,-17.27922569,Drive
121,-0.002004346,0.11511109697008595,-0.018692261,9.908408229167645,-1.084797075,0.1198136917818584,-6.45E-04,-0.010806955,-2.64E-04,-32.44444444,-48.32871288,73.60028091430664,-49.50442703,-0.103750836,-5.20E-04,-0.060546934,0.9927532609226635,-0.013687784,0.12039946236656708,0.20908296759267456,9.908408229167645,-1.084797075,0.1198136917818584,-0.02187189,0.002631684,1.942257202474527E-4,1.1967072486877441,1.110180139541626,2.5,3.9000000953674316,5.768499851226807,348.42498779296875,155.9448242,-86.9126598,40.3887812,9.751215867996216,40.060773124694826,-17.82383366,Drive
122,-0.001610293,-0.005394174,-0.007514097,9.910728751,-1.12737084,0.20205122170697454,-9.30E-04,-0.003559816,-8.10E-04,-30.25,-48.51549534,73.31126235961914,-49.89153324,-0.108336871,-0.004403753,-0.057231335,0.9924544923513838,-0.02128013,0.11288490609347242,0.21866232359293594,9.910728751,-1.12737084,0.20205122170697454,-0.022156557,0.009878824,-3.51E-04,1.2090142965316772,0.9042676687240601,2.5,3.9000000953674316,4.050479888916016,349.0961608886719,156.05535888671875,-86.9126714,40.3888045,9.564311857,39.77114521026611,-18.21069565,Drive
123,-0.01209722,-0.015582322,-0.005931973,9.870593774665906,-1.156897803,0.24930366099748796,4.4627434933485773E-4,-0.008470316,0.002392979,-35.77777778,-48.18572918,74.33264633,-49.30873875,-0.112500323,-0.006337481,-0.058443139,0.991909651,-0.025897158,0.11476424669177787,0.22735973078649022,9.870593774665906,-1.156897803,0.24930366099748796,-0.020780668,0.004968323,0.002851115,1.2813756465911865,0.9840731620788574,2.5,3.9000000953674316,3.0321927070617676,349.31842041015625,156.37091064453125,-86.9126802,40.3888201,9.894077806472778,40.79277313232422,-17.62985369,Drive
124,0.019064255131101146,0.2975437641143799,-0.010153724,9.913487462,-0.522009942,0.27377491943465854,4.299655805332858E-5,-0.003370038,0.002713229,-34.11111111,-48.1320491,74.47392250061036,-49.05949287,-0.117013918,-0.00933535,-0.042900982,0.992119222,-0.028645288,0.083042722,0.23598802653909887,9.913487462,-0.522009942,0.27377491943465854,-0.021183945,0.010068601390654311,0.003171365,1.3582545518875122,0.9042676687240601,2.5,3.9000000953674316,1.9107612371444702,350.7239074707031,155.51177978515625,-86.9126853,40.388831,9.948123865127563,40.93478137969971,-17.37841164,Drive
125,0.007504601,0.088503438,-0.012444684,9.936927832446052,-0.412872255,0.27853733330097014,6.225943473579648E-4,-0.002290677,5.521119153574825E-4,-33.75,-48.14229713,74.61007476806641,-49.17331898,-0.121298954,-0.011421962,-0.026918362,0.9921818134876398,-0.029232571,0.050666794,0.2440425786547936,9.936927832446052,-0.412872255,0.27853733330097014,-0.020604348,0.011147962529391337,0.001010247,1.4371545314788818,0.9042676687240601,1.0285253524780273,3.9000000953674316,1.028572678565979,352.69793701171875,159.79998779296875,-86.9126884,40.3888318,9.936899852752685,41.06983524,-17.49406765,Drive
126,0.003802161,0.11925471740440258,-0.011547299,9.941507293182669,-0.208126204,0.278885803,5.174410197142403E-4,-0.001816233,9.696458543207749E-4,-32.66666667,-48.20610313,74.54578033447265,-49.16648689,-0.125025694,-0.012429404,-0.018157128,0.9919020336808511,-0.029210326,0.032918731,0.25125145261148807,9.941507293182669,-0.208126204,0.278885803,-0.020709501,0.011622407044130333,0.001427781,1.5295400619506836,1.2453112602233887,1.0385472774505615,3.9000000953674316,0.6773107051849365,353.9769287109375,159.79998779296875,-86.9126897,40.3888325,9.873459882736206,41.005663299560545,-17.48577171,Drive
