seconds_elapsed,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,microphone_dBFS,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,gyroscope_z,gyroscope_y,gyroscope_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometer_z,accelerometer_y,accelerometer_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,magnetometer_z,magnetometer_y,magnetometer_x,class
33,9.902040241,0.24309509936539295,-0.765706147,0.021085978,0.004534366,-0.033765463,-16.22222222,45,0.4116450250148773,2.186591386795044,6.513999938964844,1.6335729360580444,359.9947204589844,154.29998779296875,-86.9104535,40.4260657,0.041549360396367356,-0.007247936,-0.034125217,9.902040241,0.24309509936539295,-0.765706147,0.021841186743516188,-0.116202645,-0.126455798,0.21762882015452936,0.034013477,0.010636142354996991,0.9749779535027651,0.06203366,-0.03519131,-0.438035001,-110.4580658,69.11970878601075,-20.88212957,-46.3782991,18.78043560028076,7.797629861831665,Campus
34,9.602205628330267,-0.056120984,-0.253276211,-0.065176808,-0.009926269,-0.010280618,-34.25,45,0.4245273172855377,2.1965651512145996,6.4710001945495605,1.7157949209213257,358.8538513183594,154.29998779296875,-86.9104489,40.4260834,-0.044713428,-0.021711766,-0.010632005,9.602205628330267,-0.056120984,-0.253276211,-0.323673521,-0.155847844,-0.00564827,0.23569480452722716,0.013325714,0.002195993,0.9713227268561576,0.02490615,-0.01017369,-0.476125059,-109.2463621,70.07753051757813,-21.54727352,-45.16549706,19.737891540527343,7.1326078605651855,Campus
35,9.728429896160236,0.1712058777751365,-0.518653023,-0.064571892,0.074993363,0.026247157555331194,-56.22222222,45,0.3843216896057129,2.2066714763641357,6.511000156402588,1.6516847610473633,358.8728332519531,154.29998779296875,-86.9104462,40.4260993,-0.04410851,0.063213796,0.025900221,9.728429896160236,0.1712058777751365,-0.518653023,-0.183717501,0.073182794,0.037470285753601965,0.21637475418234334,0.028402973988174814,-0.00120237,0.9756240005632049,0.056037691937198916,-0.009871714,-0.436241068,-108.5606002,71.07085472106934,-21.27021156,-44.48071133,20.73121570587158,7.4095478439331055,Campus
36,9.960633276,-0.110601898,-0.720705523,-0.074120086,0.022005328176163352,0.013036843,-51,45,0.3843216896057129,2.2066714763641357,6.511000156402588,1.6516847610473633,358.8728332519531,154.29998779296875,-86.9104462,40.4260993,-0.053656706,0.010230209346119207,0.012675078569920463,9.960633276,-0.110601898,-0.720705523,0.006909657,-0.084590991,-0.041823796,0.20956877206714408,0.032728677,-0.007691829,0.9762556905885345,0.068333443,0.001812623,-0.422864691,-108.6582,71.92656311035157,-21.34060556,-44.57696918,21.586557636260988,7.3395198583602905,Campus
37,9.978601826047434,0.29724142679637205,-0.361487548,0.064631198,-0.049669889,-0.003060168,-50.66666667,45,0.28251245617866516,2.2164909839630127,6.409999847412109,1.572230339050293,354.0705261230469,154.29998779296875,-86.9104455,40.4261322,0.085094582,-0.061446489,-0.00342045,9.978601826047434,0.29724142679637205,-0.361487548,0.052507609,-0.014900311,-0.170149707,0.1842204586973468,0.012442455,0.013811113905230564,0.982406019,0.019550634313298104,-0.031669338,-0.370642935,-109.7978022,69.74520248413086,-24.9730335,-45.71766914,19.405563640594483,3.7064819359779357,Campus
38,10.254412401069715,0.006565736,-0.508489327,0.097213674,-0.004093566,-0.065725387,-57,45,0.28251245617866516,2.2164909839630127,6.409999847412109,1.572230339050293,354.0705261230469,154.29998779296875,-86.9104455,40.4261322,0.11767705573216623,-0.015864236,-0.066058978,10.254412401069715,0.006565736,-0.508489327,0.37620668040895927,-0.17192521,-0.076708707,0.2139859436785133,0.022664328686694064,0.004460021,0.976313194,0.042522872,-0.01829413,-0.431154347,-109.8114657,69.45459907531739,-22.85059946,-45.73182095,19.114715766906738,5.829159891605377,Campus
39,9.718847024787976,-0.078298152,-0.284359679,-0.089959007,0.029374999603672992,0.011222850244778853,-65.22222222,45,0.3065779209136963,2.236529827,6.250999927520752,1.5352121591567993,355.63238525390625,154.29998779296875,-86.9104399,40.4261607,-0.069495623,0.017597099942996956,0.01087778,9.718847024787976,-0.078298152,-0.284359679,-0.212213544,0.026606844,0.004575585,0.23070067611451334,0.013465267967009052,-0.009020325,0.9725936920597003,0.030257714493647933,0.011618624375842046,-0.466068408,-109.0363995,71.11148063659668,-22.15776157,-44.95602325,20.77159752,6.522485895,Campus
40,9.587386997000685,-0.068996926,-0.37616973,-0.025169279,0.008857286,-0.020484141,-62.5,45,0.3065779209136963,2.236529827,6.250999927520752,1.5352121591567993,355.63238525390625,154.29998779296875,-86.9104399,40.4261607,-0.004705896,-0.002923764,-0.020832558,9.587386997000685,-0.068996926,-0.37616973,-0.321505102,0.17986105874325464,-0.038182314,0.19234543821765382,0.014309847589104112,-0.015511005,0.9806556996789951,0.0341591,0.024997113466950008,-0.388098327,-108.4132238,71.65535667419434,-23.27479355,-44.33370121,21.315351581573488,5.405697898864746,Campus
41,10.159869726421764,-0.429212564,-0.485124464,-0.020175751,-0.014974652,-0.010049328,-55.66666667,45,0.41697177290916443,2.2665114402770996,6.052000045776367,1.7365347146987915,358.9596862792969,154.29998779296875,-86.9104437,40.4261974,2.8763147233759314E-4,-0.026752737,-0.010418503,10.159869726421764,-0.429212564,-0.485124464,0.2579038953318179,0.002367999,0.11948128796896888,0.20923827270280967,0.025093987061940496,-0.027493878,0.9768761465850385,0.060958915236360815,0.043400071452832915,-0.423324141,-107.497858,72.78117263793945,-21.43735157,-43.41931126,22.440435543060303,7.242285885810852,Campus
42,10.258419814619046,-0.30014534,-0.793084222,-0.039224697,0.074166051,0.051936842,-56,45,0.41697177290916443,2.2665114402770996,6.052000045776367,1.7365347146987915,358.9596862792969,154.29998779296875,-86.9104437,40.4261974,-0.018761314,0.062371657,0.051567667,10.258419814619046,-0.30014534,-0.793084222,0.35402725275280406,-0.155953168,-0.013916369,0.19981566404254691,0.036926447,-0.014816928,0.978668799,0.078562719,0.014426181,-0.403447238,-107.896676,71.80749053955078,-21.12881355,-43.81764122,21.46711965560913,7.550579829216003,Campus
