Instructor,Instructor_Title,Department,Courses,Course_count,Sum_MaxCredits,Sum_Enrollment,Sum_Capacity
"Hands, Nicole M.",Clinical Assistant Professor,Computer Information Tech,"[('CNIT', 27000), ('CNIT', 47000), ('CNIT', 58100)]",3,9.0,234,271
"Hassan, Raymond P.",Associate Professor of Practice,Computer Graphics Technology,"[('CGT', 24100), ('CGT', 24100), ('CGT', 34100)]",3,9.0,87,90
"Henneberry, Debra",Assistant Professor,Schl of Aviation & Transp Tech,"[('AT', 24900), ('AT', 25400), ('AT', 25400)]",3,9.0,173,201
"Heslin, Paul E.",Recruiting Operations Officer Army ROTC,Military Science,"[('MSL', 10200), ('MSL', 10200), ('MSL', 10200), ('MSL', 20200), ('MSL', 20200), ('MSL', 30200), ('MSL', 30200), ('MSL', 40200)]",8,24.0,145,220
"Howard, Robert T.",Clinical Assistant Professor,Computer Graphics Technology,"[('CGT', 10501), ('CGT', 20500), ('CGT', 25500), ('CGT', 33500), ('CGT', 39000), ('CGT', 40500)]",6,12.0,328,645
"Howard, Robert T.",Clinical Assistant Professor,Computer Information Tech,"[('CNIT', 30800)]",1,3.0,2,120
"Hubbard, Bryan J.",Professor,Schl of Construction Mgmt Tech,"[('CM', 10000), ('CM', 20000), ('CM', 30000), ('CM', 33000), ('CM', 33100), ('CM', 41000)]",6,33.5,287,401
"Huber, Sarah E.",Associate Professor,School of Engineering Tech,"[('ECET', 38001)]",1,3.0,88,90
"Hudson, Scott C.",Associate Professor of Naval Science,Naval Science,"[('NS', 41300), ('NS', 41300)]",2,6.0,22,28
"Huggett, Christopher",Assistant Professor of Military Science,Military Science,"[('MSL', 30200), ('MSL', 30200)]",2,8.0,29,40
"Hupy, Joseph P.",Associate Professor,Schl of Aviation & Transp Tech,"[('AT', 31900), ('AT', 41901)]",2,6.0,28,35
"Hurt, Andrew C.",Limited Term Lecturer,Technology Ldrshp & Innovatn,"[('TLI', 35520)]",1,3.0,21,49
"Huston, Davin H.",Continuing Lecturer,School of Engineering Tech,"[('ECET', 35901), ('ECET', 38001), ('ECET', 42800)]",3,9.0,117,121
"Hutcheson, John S.",Senior Lecturer and Program Coordinator ,Technology Ldrshp & Innovatn,"[('OLS', 38600), ('TLI', 45800)]",2,6.0,118,165
"Hutzel, William J.",Professor,School of Engineering Tech,"[('MET', 22000), ('MET', 42100)]",2,6.0,51,84
"Jacob, James M.",Professor,School of Engineering Tech,"[('ECET', 27700), ('ECET', 31800), ('ECET', 33700)]",3,9.0,137,147
"Jaiyeoba, Oluwaseyi",Student,Computer Graphics Technology,"[('CGT', 27500)]",1,3.0,13,30
"Jenkins, James L.",Associate Professor and Associate Head of Undergraduate Programs,Schl of Construction Mgmt Tech,"[('CM', 10000), ('CM', 30000), ('CM', 40000), ('CM', 41000)]",4,18.5,200,321
"Johnson, Mary E.",Professor and Associate Head for Graduate Education and Research,Schl of Aviation & Transp Tech,"[('AT', 52500), ('AT', 64000)]",2,6.0,27,40
"Josekutty Thomas, Paul",Clinical Assistant Professor,Computer Information Tech,"[('CNIT', 18200), ('CNIT', 48000)]",2,6.0,167,195
"Kang, Kyubyung",Assistant Professor,Schl of Construction Mgmt Tech,"[('CM', 10000), ('CM', 20000), ('CM', 25000), ('CM', 30000), ('CM', 58100)]",5,33.0,369,394
"Kao, Dominic",Assistant Professor,Computer Information Tech,"[('CNIT', 25501), ('CNIT', 58100)]",2,6.0,184,200
"Karabiyik, Umit",Associate Professor,Computer Information Tech,"[('CNIT', 42300), ('CNIT', 52500)]",2,6.0,11,48
"Karanki, Fecri",Assistant Professor,Schl of Aviation & Transp Tech,"[('AT', 20300), ('AT', 50700)]",2,6.0,46,88
"Keaton, Richard A.",Senior Military Science Instructor,Military Science,"[('MSL', 20200), ('MSL', 20200)]",2,6.0,48,72
"Keller, Julius C.",Associate Professor,Schl of Aviation & Transp Tech,"[('AT', 32700)]",1,3.0,51,60
"Kelley, Todd R.",Professor and Interim Department Head TLI,Purdue Polytechnic Inst Admin,"[('TECH', 22000), ('TECH', 22000)]",2,6.0,33,80
"Kelley, Todd R.",Professor and Interim Department Head TLI,Technology Ldrshp & Innovatn,"[('TLI', 36700), ('TLI', 36700)]",2,6.0,3,80
"Kesselman, Jeffrey P.",Assistant Professor,Computer Graphics Technology,"[('CGT', 20500), ('CGT', 21500), ('CGT', 40500), ('CGT', 58100)]",4,6.0,153,345
"Khan, Tahir M.",Assistant Professor,Computer Information Tech,"[('CNIT', 42000), ('CNIT', 47100), ('CNIT', 58100)]",3,9.0,236,250
"Kim, Garam",Assistant Professor,Schl of Aviation & Transp Tech,"[('AT', 47200)]",1,3.0,33,40
"Kim, Noori",Assistant Professor,School of Engineering Tech,"[('ECET', 32700)]",1,3.0,27,28
"Kleiman-Redden, Edna E.",Professor,Technology Ldrshp & Innovatn,"[('OLS', 45000)]",1,3.0,34,40
"Kocsis, Jin",Associate Professor,Computer Information Tech,"[('CNIT', 48300), ('CNIT', 62300)]",2,6.0,20,40
"Kulkarni, Shruti M.",Student,Computer Graphics Technology,"[('CGT', 26000), ('CGT', 36000), ('CGT', 46000)]",3,9.0,125,200
"Kwiatek, Jennifer L.",Recruiting Officer for Navy ROTC,Naval Science,"[('NS', 21200), ('NS', 21200)]",2,6.0,65,80
"Laux, Chad M.",Associate Professor,Computer Information Tech,"[('CNIT', 48200), ('CNIT', 58100)]",2,6.0,17,40
"Laux, Dawn D.",Assistant Dean of Academic Programs and Clinical Professor,Computer Information Tech,"[('CNIT', 13600), ('CNIT', 38101)]",2,6.0,336,340
"Le, Kathleen H.",Instructor ,Aerospace Studies,"[('AFT', 12000), ('AFT', 12000), ('AFT', 12000)]",3,3.0,55,132
"Le, Tho V.",Assistant Professor,School of Engineering Tech,"[('IET', 43640)]",1,3.0,32,100
"Ledbetter, William C.",Student,Computer Information Tech,"[('CNIT', 18000), ('CNIT', 32000), ('CNIT', 38000)]",3,9.0,234,340
"Lee, Sunghwan",Associate Professor,School of Engineering Tech,"[('MET', 21100)]",1,4.0,42,54
"Leon-Salas, Walter Daniel",Associate Professor,School of Engineering Tech,"[('ECET', 43900), ('ECET', 58100)]",2,6.0,13,28
"Lercel, Damon J.",Assistant Professor,Schl of Aviation & Transp Tech,"[('AT', 44502), ('AT', 52800)]",2,6.0,29,60
"Li, Tianyi",Assistant Professor,Computer Information Tech,"[('CNIT', 37200), ('CNIT', 48101)]",2,6.0,34,48
"Liu, Heming",Student,School of Engineering Tech,"[('MET', 43200)]",1,3.0,13,14
"Lu, Chien-Tsung",Associate Professor,Schl of Aviation & Transp Tech,"[('AT', 38100), ('AT', 41200), ('AT', 49800), ('AT', 57300)]",4,12.0,104,139
"Lu, Xiaonan",Associate Professor,School of Engineering Tech,"[('ECET', 37300)]",1,3.0,9,10
"Lucietto, Anne M.",Associate Professor,School of Engineering Tech,"[('MET', 31300), ('MET', 42200)]",2,6.0,78,105
"Magana Deleon, Alejandra J.",WC Furnas Professor in Enterprise Excellence. Computer and Information Technology and Professor in Engineering Education,Computer Information Tech,"[('CNIT', 28000)]",1,3.0,153,180
"Maley, James G.",Assistant Professor of Practice,School of Engineering Tech,"[('IET', 43630), ('IET', 43640)]",2,6.0,3,0
"Mansoor, Maira",Student,Computer Graphics Technology,"[('CGT', 27000)]",1,3.0,117,120
"Manuel, Joseph R.",Assistant Professor of Practice,Schl of Construction Mgmt Tech,"[('CM', 15000), ('CM', 20000), ('CM', 36200), ('CM', 41000)]",4,17.5,221,295
"Mao, Huachao",Assistant Professor,School of Engineering Tech,"[('MET', 41100)]",1,3.0,14,24
"Marete, Caroline K.",Visiting Assistant Professor,Schl of Aviation & Transp Tech,"[('AT', 20300), ('AT', 42101)]",2,6.0,104,110
