ACADEMIC_PERIOD,Department,Subject,Crs .,Title,IType,Sec .,CRN,Min Cr,Max Credit,Stat,Perm,Days,Meeting Time String,Dates,BldgRoom String,Enrl*,Lim**,Graduate Student,INSTRUCTOR_ID,Instructor,Instructor _Title,Grd?,Mode,Link ID,Link Cnct,XList Group,XList Enrl,XList Max Enrl,XList Seats Avail
202410,Computer Graphics Technology,CGT,58100,Design Fut Of Ent Graph Prac,LEC,004,29589,3,3,,,T,06:00 PM-08:50 PM,08/21/23-12/09/23,DUDL 1383,22,30,,034007647,"Giri, Nandhini",Assistant Professor,Y,Reg,,,,,,
202410,Computer Graphics Technology,CGT,35300,Principles Of Interact Media,LEC,001,24111,3,3,,,M,08:30 AM-09:20 AM,08/21/23-12/09/23,KNOY 314,22,40,,010361800,"Glotzbach, Ronald J.",Associate Professor,Y,Reg,A1,A7,,,,
202410,Computer Graphics Technology,CGT,35600,"Web Prog,Dev&Data Intg",LEC,011,24113,3,3,,,M,02:30 PM-03:20 PM,08/21/23-12/09/23,KNOY 314,31,50,,010361800,"Glotzbach, Ronald J.",Associate Professor,Y,Reg,A5,A1,,,,
202410,Computer Information Tech,CNIT,31500,Systems Programming,LEC,001,23051,3,3,,,MW,10:30 AM-11:20 AM,08/21/23-12/09/23,LWSN 1142,86,100,Graduate Student,033216965,"Gonzalez, Rey A.",Student,Y,Reg,A1,A2,,,,
202410,Schl of Aviation & Transp Tech,AT,10600,Basic Aircraft Science,LEC,002,19480,3,3,,Dept,TR,05:30 PM-06:45 PM,08/21/23-12/09/23,ME 1130,104,120,,034005255,"Gouwens, David W.",Continuing Lecturer,Y,Reg,,,,,,
202410,Schl of Aviation & Transp Tech,AT,12700,Publications Records And Regs,DIS,001,21431,3,3,,,,,08/21/23-12/09/23,ASYNC ONLINE,83,90,,034005255,"Gouwens, David W.",Continuing Lecturer,Y,Reg,,,,,,
202410,Schl of Aviation & Transp Tech,AT,37200,Aircraft Maint Pract,LEC,001,11780,3,3,,Dept,WF,07:30 AM-08:20 AM,08/21/23-12/09/23,NISW 149,60,61,,034005255,"Gouwens, David W.",Continuing Lecturer,Y,Reg,A1,A2,,,,
202410,Technology Ldrshp & Innovatn,OLS,37800,Labor/Mgmt Relations,LEC,001,25907,3,3,,,TR,04:30 PM-05:45 PM,08/21/23-12/09/23,KRAN G002,35,45,,034033769,"Grant, Brandon C.",Assistant Professor,Y,Reg,,,,,,
202410,Technology Ldrshp & Innovatn,TLI,45580,HRIS And Analytics,LEC,001,23197,3,3,,,TR,03:00 PM-04:15 PM,08/21/23-12/09/23,PHYS 201,18,40,,034033769,"Grant, Brandon C.",Assistant Professor,Y,Reg,,,,,,
202410,Schl of Construction Mgmt Tech,CM,25000,Intermediate Const Mgmt,LEC,002,10185,9,9,,,TR,02:30 PM-05:20 PM,08/21/23-12/09/23,MSEE B012,64,85,,035530712,"Guan, Shanyue",Assistant Professor,Y,Reg,A1,A2,,,,
