seconds_elapsed,microphone_dBFS,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,gyroscope_z,gyroscope_y,gyroscope_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,magnetometer_z,magnetometer_y,magnetometer_x,accelerometer_z,accelerometer_y,accelerometer_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,class
320,-134.25,9.889771202235545,-0.263794174,-0.189082356,-2.35E-04,-8.22E-05,-1.06E-04,0,0.12727922201156616,1.1888160705566406,10.17199993133545,0.002935934,0,160.1999969482422,-86.9154942,40.3848547,-103.9779143,-10.04645576,-33.62856724,-40.85755527,-35.84677105,-6.568235898,0.002441791,-9.54E-04,-0.0010913,-0.021767306,0.014272681329972468,3.5241187456099747E-4,9.889771202235545,-0.263794174,-0.189082356,-0.995217699,0.014133316751282949,0.008180186,0.096307159,0.019012261199979827,0.026558953498561796,2.9484010224158945,Home
321,-136.8888889,9.893093359123156,-0.261842746,-0.188222798,2.817013945195426E-5,-1.23E-04,-7.41E-05,0,0.11313708126544952,1.1988911628723145,10.121999740600586,0.005694743,0,160.1999969482422,-86.9154942,40.3848546,-103.9605898,-10.08317783,-33.51486351,-40.84120731,-35.88398136,-6.455141902,0.002019308,0.001170065,-7.20E-04,-0.021504195,0.014231851722285586,3.840034919139902E-4,9.893093359123156,-0.261842746,-0.188222798,-0.995217886,0.014137106350831036,0.008151533,0.09630709,0.018955938518047333,0.026572027,2.948401828414028,Home
322,-131.3333333,9.900806177009656,-0.260620199,-0.187363239,1.630902875811585E-5,-1.82E-04,1.7495139940524275E-4,0,0.16278821229934692,1.2087799310684204,10.390000343322754,0.003643047,0,160.1999969482422,-86.9154942,40.3848546,-104.0614841,-10.08012778,-33.48631557,-40.94185741,-35.87995533,-6.4265939,0.004639839,8.827769061894093E-4,-8.28E-05,-0.021516056,0.014172546167686147,6.330868385243908E-4,9.900806177009656,-0.260620199,-0.187363239,-0.995218827,0.014053626040231835,0.008143415,0.096310247,0.018923704,0.026407343597666732,2.948397705855879,Home
323,-131.5,9.904337336716143,-0.261209693,-0.187572321,-1.14E-04,1.8532988016303737E-4,-1.81E-04,0,0.16278821229934692,1.218780517578125,10.38700008392334,0.001601662,0,160.1999969482422,-86.9154942,40.3848546,-103.9325304,-10.00436575,-33.52352535,-40.81278118,-35.80516926,-6.46355988,0.002788516,5.923833661866419E-4,-2.19E-04,-0.021646528,0.014540240629711777,2.7725348662747777E-4,9.904337336716143,-0.261209693,-0.187572321,-0.995220725,0.014060765396333436,0.008141504,0.096289763,0.018920737924506364,0.026422315448956582,2.948438751,Home
324,-138,9.927362266096097,-0.259171148,-0.187874328,-2.56E-04,2.2091321563529013E-4,-3.85E-05,0,0.15620499849319458,1.228756070137024,10.336999893188477,5.55557431653142E-4,0,160.1999969482422,-86.9154942,40.3848546,-103.8778742,-10.01827376,-33.56439522,-40.75812546,-35.8188332,-6.504307919,0.011247033054388842,0.001267527,4.474510556285821E-4,-0.021788862,0.014575823933537145,4.195868262559971E-4,9.927362266096097,-0.259171148,-0.187874328,-0.995213264,0.013979132278162299,0.008183392,0.096375152,0.018990606033396952,0.026250098370811315,2.948268013093078,Home
325,-127.75,9.939552444678087,-0.257308958,-0.187238371,-1.93E-05,9.044098330987166E-5,4.447916821007011E-5,0,0.11313708126544952,1.2388532161712646,10.36400032043457,1.318994618486613E-4,0,160.1999969482422,-86.9154942,40.3848546,-103.9258199,-10.02132378,-33.66138535,-40.80594936,-35.82115143,-6.601663876,0.00716877,8.44164959435324E-4,4.2477857719347314E-4,-0.021551639,0.014445351717035168,5.026146101548328E-4,9.939552444678087,-0.257308958,-0.187238371,-0.995213712,0.013841019554551944,0.008144598,0.096393778,0.018887105,0.025982289,2.948234909946479,Home
326,-121.1111111,9.943229462336568,-0.255793899,-0.187432934,-1.02E-04,1.6160765877536054E-4,-8.60E-05,0,0.12727922201156616,1.24877131,10.317000389099121,8.785962563706562E-6,0,160.1999969482422,-86.9154942,40.3848546,-103.9014198,-10.03205976,-33.49936916,-40.78191551,-35.83298519,-6.439281917,0.002602827,9.124122777031463E-4,9.569185740739396E-4,-0.021634667,0.014516518378937707,3.721423789596601E-4,9.943229462336568,-0.255793899,-0.187432934,-0.995207539,0.013756047735370478,0.008186085,0.096466115,0.018955135211637875,0.025803747921458727,2.9480905185625392,Home
327,-134.625,9.940174528696005,-0.257411378,-0.188013716,-1.85E-04,3.1580211079308706E-4,-1.22E-04,0,0.12727922201156616,1.1085604429244995,10,0.010095313,0,160.1999969482422,-86.9154942,40.3848548,-103.9411919,-10.03608578,-33.56707932,-40.82022335,-35.83542534,-6.507357903,-9.31E-04,3.3386268662017525E-4,7.743041202859972E-4,-0.021717695,0.014670712801003918,3.365590440525303E-4,9.940174528696005,-0.257411378,-0.188013716,-0.995204371,0.013816489168958179,0.008203372,0.096488716,0.019001861003417414,0.025920295907021725,2.9480431959467026,Home
328,-138,9.938806765287826,-0.255433814,-0.188942968,-1.02E-04,1.9719099311736748E-4,2.0756945692147444E-5,0,0.16278821229934692,1.1185457706451416,10,0.002051008,0,160.1999969482422,-86.9154942,40.3848547,-103.9576613,-10.07256378,-33.51657146,-40.83730354,-35.87300117,-6.456361909,-8.43E-04,0.001251634,3.059153417939121E-4,-0.021634667,0.014552101718930944,4.788923887671559E-4,9.938806765287826,-0.255433814,-0.188942968,-0.995201374,0.013768779520777244,0.008217934,0.096525187,0.019022554,0.02582181,2.947970665774299,Home
329,-141.25,9.940081679705278,-0.256304987,-0.189128817,-2.09E-04,1.378854311713316E-4,5.6340280034154366E-5,0,0.15620499849319458,1.1285638809204102,9.979000091552734,1.6387605865020305E-4,0,160.1999969482422,-86.9154942,40.3848547,-103.9180117,-10.04852981,-33.55939327,-40.7981414,-35.84786926,-6.499427891,8.710842688106796E-5,-6.99E-04,8.438035701085063E-4,-0.021741417,0.014492796155289539,5.14475721978917E-4,9.940081679705278,-0.256304987,-0.189128817,-0.995194303,0.013718887892307586,0.008268599,0.096600802,0.019115718,0.025711243,2.947818614904163,Home
