seconds_elapsed,magnetometer_z,magnetometer_y,magnetometer_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,accelerometer_z,accelerometer_y,accelerometer_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,microphone_dBFS,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscope_z,gyroscope_y,gyroscope_x,class
445,15.987977752685547,-57.98330479,-26.84268349,-0.967702126,-0.102447069,0.014672146536982976,0.229873581,-0.019110309,-0.20648617,2.6731662360521464,0.012378683457007775,0.001150686,4.845343960019258E-4,-0.021250436,0.01303924,8.222943635281319E-4,-50.25,0,0.23021729290485382,7.686634540557861,10.243000030517578,0.005447909,0,159.29998779296875,-86.9188727,40.3872095,9.737025483140668,2.038333516676449,0.1866604934618311,9.737025483140668,2.038333516676449,0.1866604934618311,-44.07225513,-28.04328552,-62.42239674,-2.35E-05,5.87353111208918E-5,5.873531335964799E-5,Garage
446,16.231123628616334,-58.23791908,-26.77228954,-0.967870775,-0.102477977,0.014492723295121517,0.22916006275172374,-0.019325199,-0.206477194,2.674618311298704,-0.010343802,-0.001300367,2.939728567901167E-4,-0.021302556,0.012784796106873208,8.58447946228304E-4,-49.88888889,0,0.2140093445777893,7.696611404418945,10.204000473022461,0.006137399,0,159.29998779296875,-86.9188728,40.3872095,9.716187004904144,2.036440164140127,0.18837380141598506,9.716187004904144,2.036440164140127,0.18837380141598506,-43.82862103,-28.29789944,-62.35249081,-7.56E-05,-1.96E-04,9.488889459267403E-5,Garage
447,15.974435691833497,-58.12689884,-26.79949553,-0.968029527,-0.10257814,0.014384037,0.22845043328780573,-0.019434324,-0.20663682,2.6760675374744007,-0.012316,-0.001475515,-0.001244826,-0.021243251,0.012654323881329263,9.651979492543247E-4,-48.66666667,0,0.2140093445777893,7.706609725952148,10.187999725341797,0.001847707,0,159.29998779296875,-86.9188727,40.3872095,9.687356976629461,2.032267248746261,0.18733710477363716,9.687356976629461,2.032267248746261,0.18733710477363716,-44.08555313,-28.18639139,-62.3793306,-1.63E-05,-3.26E-04,2.0163890100943232E-4,Garage
448,16.180249643325805,-58.12128693,-26.67163946,-0.968185626,-0.102656644,0.014305569204384262,0.22775755923928567,-0.019476822,-0.206767953,2.677489954291038,-0.004386976,-0.003108214,-0.00306568,-0.02123139,0.012595018,9.296146216937928E-4,-48.75,0,0.20000000298023224,7.716672420501709,10.151000022888184,0.006682909,0,159.29998779296875,-86.9188726,40.3872096,9.681665309,2.029099089428059,0.1856673558794179,9.681665309,2.029099089428059,0.1856673558794179,-43.87973923,-28.1811455,-62.25196266,-4.45E-06,-3.85E-04,1.6605556553717955E-4,Garage
449,16.225023717880248,-58.05796906,-26.8895315,-0.968347959,-0.102582696,0.014306420532679096,0.22709975514597106,-0.019297535,-0.206636843,2.6788721454953683,0.014528006025888388,0.001075076,-4.05E-04,-0.021302556,0.012832240499917743,7.635590499402612E-4,-49.33333333,0,0.22203603386878967,4.557504653930664,10.133999824523926,0.001692784,0,159.29998779296875,-86.9188727,40.3872095,9.708141638682438,2.033470721198962,0.186269164,9.708141638682438,2.033470721198962,0.186269164,-43.83496525,-28.11819353,-62.47058662,-7.56E-05,-1.48E-04,0,Garage
450,16.01335361480713,-57.99672501,-26.83536352,-0.968503776,-0.102460421,0.014292238,0.22649059307228014,-0.019135787,-0.206403146,2.6801552494752756,0.013080495075114723,7.679624464905378E-5,-0.001402836,-0.021243251,0.012808518303395475,9.296146132169491E-4,-48.125,0,0.22203603386878967,4.567563533782959,10.095000267028809,0.003315078,0,159.29998779296875,-86.9188727,40.3872096,9.739023393797643,2.0370993567901907,0.185597662,9.739023393797643,2.0370993567901907,0.185597662,-44.04700115,-28.05694937,-62.41519886,-1.63E-05,-1.72E-04,1.6605556553717955E-4,Garage
451,16.30615363121033,-58.2220586,-26.79363951,-0.968649172,-0.102444405,0.014216962053431469,0.22587998515193902,-0.019145081,-0.206349331,2.6814169397631895,-0.007665532,0.001514813,2.566854496604031E-4,-0.021195806,0.012796657232260242,8.110034944109835E-4,-47.22222222,0,0.24413111805915833,4.577467441558838,10.090999603271484,0.013179473578929901,0,159.29998779296875,-86.9188725,40.3872097,9.720902933657747,2.0387052286018448,0.18595193970261267,9.720902933657747,2.0387052286018448,0.18595193970261267,-43.75407887,-28.28228346,-62.37396278,3.11354247545733E-5,-1.84E-04,4.7444447296337016E-5,Garage
452,16.15365367889404,-58.09066475,-26.79827553,-0.96877594,-0.10255672,0.014105981667932956,0.22529154798938233,-0.019290363,-0.206530008,2.682610329,-0.013940885,-0.002722762,-9.87E-04,-0.021183945,0.012915268341459117,7.872812730233068E-4,-47.5,0,0.22203603386878967,4.587522506713867,10.053000450134277,0.003651337,0,159.29998779296875,-86.9188726,40.3872096,9.688541754935551,2.0291919939726304,0.187151255,9.688541754935551,2.0291919939726304,0.187151255,-43.90645718,-28.15076742,-62.37823299,4.2996538274026324E-5,-6.52E-05,2.3722223648168508E-5,Garage
453,16.486957712173464,-58.30538471,-26.83292343,-0.968902575,-0.102643876,0.014093147196735326,0.22470732391453707,-0.01923042,-0.206706376,2.68381674,-0.00552613,-0.001377238,7.654146219675357E-4,-0.0213914,0.012816045513878075,8.810296729699565E-4,-46.88888889,0,0.2080865204334259,4.597508430480957,10.039999961853027,0.008254753,0,159.29998779296875,-86.9188728,40.3872096,9.682315807898068,2.0315151376631655,0.18675341927310796,9.682315807898068,2.0315151376631655,0.18675341927310796,-43.57327526,-28.36573147,-62.4122707,-1.64E-04,-1.64E-04,1.1747062671929598E-4,Garage
454,16.578457717895507,-58.31197315,-26.77582754,-0.969043812,-0.102590788,0.013990983981819987,0.2241281375144292,-0.019282321,-0.206567394,2.685011400759799,0.011271088,-0.001399929,-0.001053288,-0.021350001,0.012820379392614642,8.110034949761065E-4,-44.75,0,0.2080865204334259,4.8184967041015625,10.02400016784668,0.010812364518642426,0,159.29998779296875,-86.9188729,40.3872095,9.702759335341963,2.029917983175481,0.18590257262575974,9.702759335341963,2.029917983175481,0.18590257262575974,-43.48165302,-28.37158747,-62.35566284,-1.23E-04,-1.60E-04,4.7444447296337016E-5,Garage
