seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,microphone_dBFS,gyroscope_z,gyroscope_y,gyroscope_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,magnetometer_z,magnetometer_y,magnetometer_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,class
278,-0.015688683,-0.00315754,-6.06E-04,9.899993035399799,-0.25951962,-0.194820484,0.9987783432006836,-0.012448189,-0.01036839,0.046683497,0.019556972641244674,0.025836899297908673,-3.048432119,-97.44444444,4.447915803785753E-6,-1.48E-06,-1.48E-06,0,0.086023256,1.162287950515747,9.93500042,0.003869845,0,160.1999969482422,-86.9155033,40.3848259,-104.7648143,-12.73631172,-30.46547335,-0.021527917,0.013437157207467024,6.093646058342555E-4,-44.70506912,-42.67706299,5.114117875099182,9.899993035399799,-0.25951962,-0.194820484,Drive
279,-0.008506988,-8.91E-04,8.109194561115746E-4,9.883707796485679,-0.260501141,-0.193612457,0.9987759995229036,-0.012641653,-0.010428817,0.046668282122287935,0.019660204,0.026228754,-3.048467474,-96.875,-1.14E-04,1.289895633958931E-4,6.968401670817611E-5,0,0.086023256,1.172287940979004,9.93500042,0.002702055,0,160.1999969482422,-86.9155033,40.3848259,-104.7180881,-12.76778775,-30.47816145,-0.021646528,0.013567629505346701,6.805312852556049E-4,-44.65773327,-42.70878338,5.102893896102906,9.883707796485679,-0.260501141,-0.193612457,Drive
280,-8.98E-04,1.452296104245973E-4,1.2579733885607672E-4,9.884869362544087,-0.260117822,-0.193217525,0.9987708995643171,-0.012684102,-0.010387935,0.04677482,0.019571764466976657,0.026311845798949594,-3.048253775,-89.11111111,4.4479163689086735E-6,-1.33E-05,4.596179192976176E-5,0,0.086023256,1.1822879314422607,9.93500042,0.001289418,0,160.1999969482422,-86.9155033,40.3848259,-104.793972,-12.78450178,-30.38397738,-0.021527917,0.013425296127289823,6.568090616074363E-4,-44.73398308,-42.72476505,5.195247883796692,9.884869362544087,-0.260117822,-0.193217525,Drive
281,0.003283455,2.774619139157809E-4,2.2127579611081345E-4,9.891513583729568,-0.259873894,-0.1923812,0.9987661861456357,-0.012676522,-0.010338735,0.046888414,0.019471154333307192,0.026294325496285006,-3.04802487,-117.375,1.1747061552551504E-5,1.1747033568099141E-5,-4.70E-05,0,0.086023256,1.1922880411148071,9.93500042,4.787279467564076E-4,0,160.1999969482422,-86.9155033,40.3848259,-104.7183317,-12.78047579,-30.4493693,-0.021520618,0.013450386951892422,5.638590043347974E-4,-44.65809921,-42.72037334,5.131441888809204,9.891513583729568,-0.259873894,-0.1923812,Drive
282,0.002473646,1.6208672986447233E-4,9.896896996544403E-4,9.895486183536862,-0.259510906,-0.19149841,0.9987634403034321,-0.012645222,-0.010330667,0.046957043,0.019456142,0.026232374,-3.047886696,-91.88888889,-7.86E-05,1.4085067408973152E-4,6.968401783842196E-5,0,0.086023256,1.202288031578064,12.571999549865723,0.004059048,0,160.1999969482422,-86.9155032,40.3848259,-104.6650176,-12.75290377,-30.44363539,-0.021610945,0.013579490594565868,6.805312852556049E-4,-44.6051511,-42.6930452,5.136321868896484,9.895486183536862,-0.259510906,-0.19149841,Drive
283,0.00991175,0.001186114,2.2192993789043241E-4,9.909982431282117,-0.257727906,-0.191568104,0.9987598431920542,-0.01259947,-0.010287603,0.047055211641545434,0.019371781,0.026138837,-3.047688213,-117.25,-3.11E-05,3.410066823809615E-5,1.4085068200145242E-4,0,0.086023256,1.2122880220413208,12.571999549865723,0.003053457,0,160.1999969482422,-86.9155032,40.3848259,-104.706132,-12.78877176,-30.46339933,-0.021563501,0.013472740583628127,7.516979516791271E-4,-44.64650921,-42.72879116,5.116069889068603,9.909982431282117,-0.257727906,-0.191568104,Drive
284,0.018409535,0.001559724,6.067521363786123E-5,9.949266692967091,-0.253639198,-0.192474123,0.9987602407492481,-0.012375045,-0.010285383,0.047106723,0.019386979326316455,0.025691253,-3.047581166,-143.2222222,-7.86E-05,2.476006805064898E-4,-1.48E-06,0,0.12041594833135605,1.2222880125045776,12.194999694824219,0.005202434,0,160.1999969482422,-86.9155032,40.384826,-104.7382179,-12.82195576,-30.46583925,-0.021610945,0.013686240614545576,6.093646126157305E-4,-44.67761909,-42.76136509,5.113385897,9.949266692967091,-0.253639198,-0.192474123,Drive
285,0.004845471,4.1895815469686267E-4,0.001494142,9.955560189027052,-0.252508934,-0.191632883,0.9987601394792205,-0.012237772,-0.010290162,0.047143669600046956,0.019408428,0.025418164,-3.047504971,-107.4444444,-6.67E-05,2.1201734220862244E-4,5.782290149335433E-5,0,0.086023256,1.2322880029678345,12.571999549865723,0.00859233,0,160.1999969482422,-86.9155032,40.3848261,-104.7035698,-12.76412777,-30.49048342,-0.021599084,0.013650657238384474,6.686701723012748E-4,-44.64333717,-42.70475719,5.089961886405945,9.955560189027052,-0.252508934,-0.191632883,Drive
286,-8.93E-04,5.514699857211807E-4,-2.98E-04,9.952068976985599,-0.252082703,-0.193054906,0.9987568565942708,-0.012208046,-0.010261685,0.047227158527640464,0.019352182492758465,0.025357715676999786,-3.047336544,-106.125,-1.02E-04,-7.26E-05,-1.33E-05,0,0.15000000596046448,1.2422879934310913,12.571999549865723,0.010305536910891533,0,160.1999969482422,-86.9155032,40.3848262,-104.768352,-12.75278178,-30.40654743,-0.021634667,0.013365990563648419,5.975034996614005E-4,-44.70824123,-42.69243507,5.173531889915466,9.952068976985599,-0.252082703,-0.193054906,Drive
287,-0.006292593,-0.001500489,-9.64E-04,9.939927647414716,-0.254336137,-0.19331045,0.9987541489230777,-0.012244878,-0.010262668,0.047274531,0.019349486865464924,0.025432311757964995,-3.047242334,-73.33333333,-1.26E-04,-9.64E-05,1.645729101706043E-4,0,0.086023256,1.1015880107879639,9.93500042,0.015999553725123405,0,160.1999969482422,-86.9155032,40.3848264,-104.6921021,-12.7737658,-30.42570143,-0.021658389,0.013342268358084183,7.754201770226643E-4,-44.6319912,-42.71439518,5.154133882522583,9.939927647414716,-0.254336137,-0.19331045,Drive
